eventID,eventDate,year,decimalLatitude,decimalLongitude,footprintWKT,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,type,geodeticDatum,samplingProtocol
npmsdd-33-1567,1998-06/1998-07,1998,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1568,1999-06/1999-07,1999,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1569,2000-06/2000-07,2000,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1570,2001-06/2001-07,2001,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1571,2002-06/2002-07,2002,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1572,2003-06/2003-07,2003,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1573,2004-06/2004-07,2004,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1574,2005-06/2005-07,2005,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1575,2006-06/2006-07,2006,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1576,2007-06/2007-07,2007,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1577,2008-06/2008-07,2008,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1578,2009-06/2009-07,2009,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
