eventID,scientificName,scientificNameID,occurrenceStatus,occurrenceID,sex,lifeStage,organismQuantity,organismQuantityType,basisOfRecord,institutionCode,collectionCode,catalogNumber,preparations
npmsdd-33-1546,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1546-pr3,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1546,Miscellaneous, ,present,npmsdd-33-1546-pr4,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1547,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1547-p,unspecified,NA,27,individuals,PreservedSpecimen, , , , 
npmsdd-33-1547,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1547-pr1,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1547,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1547-pr2,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1547,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1547-pr3,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1547,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,npmsdd-33-1547-pr4,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1547,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,npmsdd-33-1547-pr5,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1547,Miscellaneous, ,present,npmsdd-33-1547-pr6,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1547,Polychaeta,urn:lsid:marinespecies.org:taxname:883,present,npmsdd-33-1547-pr7,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1547,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,present,npmsdd-33-1547-pr8,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1548,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1548-p,unspecified,NA,2,individuals,PreservedSpecimen, , , , 
npmsdd-33-1548,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1548-pr1,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1548,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,npmsdd-33-1548-pr2,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1549,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1549-p,unspecified,NA,21,individuals,PreservedSpecimen, , , , 
npmsdd-33-1549,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1549-pr1,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1549,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1549-pr2,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1549,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1549-pr3,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1549,Crustacea,urn:lsid:marinespecies.org:taxname:1066,present,npmsdd-33-1549-pr4,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1549,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,npmsdd-33-1549-pr5,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1549,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,present,npmsdd-33-1549-pr6,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1550,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1550-p,unspecified,NA,23,individuals,PreservedSpecimen, , , , 
npmsdd-33-1550,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1550-pr1,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1550,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1550-pr2,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1550,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1550-pr3,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1550,Crustacea,urn:lsid:marinespecies.org:taxname:1066,present,npmsdd-33-1550-pr4,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1550,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,npmsdd-33-1550-pr5,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1550,Miscellaneous, ,present,npmsdd-33-1550-pr6,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1550,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,present,npmsdd-33-1550-pr7,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1551,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1551-p,unspecified,NA,28,individuals,PreservedSpecimen, , , , 
npmsdd-33-1551,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1551-pr1,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1551,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1551-pr2,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1551,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1551-pr3,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1551,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,present,npmsdd-33-1551-pr4,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1552,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1552-p,unspecified,NA,58,individuals,PreservedSpecimen, , , , 
npmsdd-33-1552,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1552-pr1,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1552,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1552-pr2,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1552,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1552-pr3,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1552,Crustacea,urn:lsid:marinespecies.org:taxname:1066,present,npmsdd-33-1552-pr4,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1552,Miscellaneous, ,present,npmsdd-33-1552-pr5,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1552,Polychaeta,urn:lsid:marinespecies.org:taxname:883,present,npmsdd-33-1552-pr6,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1552,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,present,npmsdd-33-1552-pr7,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1553,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1553-p,unspecified,NA,24,individuals,PreservedSpecimen, , , , 
npmsdd-33-1553,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1553-pr1,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1553,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1553-pr2,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1553,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1553-pr3,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1553,Miscellaneous, ,present,npmsdd-33-1553-pr4,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1553,Polychaeta,urn:lsid:marinespecies.org:taxname:883,present,npmsdd-33-1553-pr5,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1553,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,present,npmsdd-33-1553-pr6,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1554,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1554-p,unspecified,NA,31,individuals,PreservedSpecimen, , , , 
npmsdd-33-1554,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1554-pr1,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1554,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1554-pr2,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1554,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1554-pr3,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1554,Crustacea,urn:lsid:marinespecies.org:taxname:1066,present,npmsdd-33-1554-pr4,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1554,Miscellaneous, ,present,npmsdd-33-1554-pr5,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1554,Polychaeta,urn:lsid:marinespecies.org:taxname:883,present,npmsdd-33-1554-pr6,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1554,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,present,npmsdd-33-1554-pr7,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1555,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1555-p,unspecified,NA,49,individuals,PreservedSpecimen, , , , 
npmsdd-33-1555,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1555-pr1,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1555,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1555-pr2,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1555,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1555-pr3,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1555,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,npmsdd-33-1555-pr4,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1555,Miscellaneous, ,present,npmsdd-33-1555-pr5,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1555,Polychaeta,urn:lsid:marinespecies.org:taxname:883,present,npmsdd-33-1555-pr6,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1555,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,present,npmsdd-33-1555-pr7,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1556,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1556-p,unspecified,NA,92,individuals,PreservedSpecimen, , , , 
npmsdd-33-1556,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1556-pr1,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1556,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1556-pr2,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1556,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1556-pr3,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1556,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,npmsdd-33-1556-pr4,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1556,Miscellaneous, ,present,npmsdd-33-1556-pr5,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1556,Polychaeta,urn:lsid:marinespecies.org:taxname:883,present,npmsdd-33-1556-pr6,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1556,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,present,npmsdd-33-1556-pr7,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1557,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1557-p,unspecified,NA,60,individuals,PreservedSpecimen, , , , 
npmsdd-33-1557,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1557-pr1,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1557,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1557-pr2,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1557,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1557-pr3,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1557,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,npmsdd-33-1557-pr4,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1557,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,npmsdd-33-1557-pr5,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1557,Polychaeta,urn:lsid:marinespecies.org:taxname:883,present,npmsdd-33-1557-pr6,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1557,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,present,npmsdd-33-1557-pr7,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1558,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1558-p,unspecified,NA,75,individuals,PreservedSpecimen, , , , 
npmsdd-33-1558,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1558-pr1,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1558,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1558-pr2,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1558,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1558-pr3,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1558,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,npmsdd-33-1558-pr4,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1558,Crustacea,urn:lsid:marinespecies.org:taxname:1066,present,npmsdd-33-1558-pr5,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1558,Miscellaneous, ,present,npmsdd-33-1558-pr6,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1558,Polychaeta,urn:lsid:marinespecies.org:taxname:883,present,npmsdd-33-1558-pr7,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1558,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,present,npmsdd-33-1558-pr8,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1559,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1559-p,unspecified,NA,21,individuals,PreservedSpecimen, , , , 
npmsdd-33-1559,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1559-pr1,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1559,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1559-pr2,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1559,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1559-pr3,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1559,Crustacea,urn:lsid:marinespecies.org:taxname:1066,present,npmsdd-33-1559-pr4,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1559,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,npmsdd-33-1559-pr5,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1559,Polychaeta,urn:lsid:marinespecies.org:taxname:883,present,npmsdd-33-1559-pr6,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1559,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,present,npmsdd-33-1559-pr7,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1566,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1566-p,unspecified,NA,54,individuals,PreservedSpecimen, , , , 
npmsdd-33-1566,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1566-pr1,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1566,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1566-pr2,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1566,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1566-pr3,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1566,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,npmsdd-33-1566-pr4,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1566,Crustacea,urn:lsid:marinespecies.org:taxname:1066,present,npmsdd-33-1566-pr5,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1566,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,npmsdd-33-1566-pr6,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1566,Polychaeta,urn:lsid:marinespecies.org:taxname:883,present,npmsdd-33-1566-pr7,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1566,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,present,npmsdd-33-1566-pr8,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1567,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1567-p,unspecified,NA,21,individuals,PreservedSpecimen, , , , 
npmsdd-33-1567,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1567-pr1,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1567,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1567-pr2,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1567,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1567-pr3,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1567,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,present,npmsdd-33-1567-pr4,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1568,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1568-p,unspecified,NA,9,individuals,PreservedSpecimen, , , , 
npmsdd-33-1568,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1568-pr1,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1568,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1568-pr2,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1568,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1568-pr3,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1568,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,npmsdd-33-1568-pr4,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1568,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,present,npmsdd-33-1568-pr5,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1569,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1569-p,unspecified,NA,28,individuals,PreservedSpecimen, , , , 
npmsdd-33-1569,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1569-pr1,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1569,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1569-pr2,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1569,Crustacea,urn:lsid:marinespecies.org:taxname:1066,present,npmsdd-33-1569-pr3,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1569,Polychaeta,urn:lsid:marinespecies.org:taxname:883,present,npmsdd-33-1569-pr4,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1570,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1570-p,unspecified,NA,25,individuals,PreservedSpecimen, , , , 
npmsdd-33-1570,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1570-pr1,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1570,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1570-pr2,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1570,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1570-pr3,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1570,Miscellaneous, ,present,npmsdd-33-1570-pr4,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1570,Polychaeta,urn:lsid:marinespecies.org:taxname:883,present,npmsdd-33-1570-pr5,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1571,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1571-p,unspecified,NA,23,individuals,PreservedSpecimen, , , , 
npmsdd-33-1571,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1571-pr1,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1571,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1571-pr2,NA,NA,NA,NA,PreservedSpecimen, , , , 
npmsdd-33-1571,Miscellaneous, ,present,npmsdd-33-1571-pr3,NA,NA,NA,NA,PreservedSpecimen, , , , 
