eventID,parentEventID,eventDate,decimalLatitude,decimalLongitude,footprintWKT,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,eventRemarks,type,geodeticDatum
GoA2019_Stn28,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn29,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn30,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn31,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn32,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn33,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn34,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn35,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn36,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn37,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn38,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn39,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn40,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn41,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn42,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn43,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn44,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn45,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn46,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn47,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn50,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn52,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn55,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn56,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn58,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn59,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn60,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn3:neuston,GoA2019_Stn3,2019-02-20T00:00:00+00:00,47.5555,-137.07033335,POINT  ( -137.07033335   47.5555 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn4:neuston,GoA2019_Stn4,2019-02-21T00:00:00+00:00,47.6800833,-138.30599999999998,POINT  ( -138.306   47.6800833 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn5:neuston,GoA2019_Stn5,2019-02-21T00:00:00+00:00,47.658583300000004,-139.84658335,POINT  ( -139.84658335   47.6585833 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn6:neuston,GoA2019_Stn6,2019-02-22T00:00:00+00:00,47.56766665,-141.57733335,POINT  ( -141.57733335   47.56766665 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn7:neuston,GoA2019_Stn7,2019-02-22T00:00:00+00:00,47.61983335,-143.18066665,POINT  ( -143.18066665   47.61983335 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn8:neuston,GoA2019_Stn8,2019-02-23T00:00:00+00:00,47.67425,-144.66500000000002,POINT  ( -144.665   47.67425 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn10:neuston,GoA2019_Stn10,2019-02-23T00:00:00+00:00,47.734,-147.6449167,POINT  ( -147.6449167   47.734 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn15:neuston,GoA2019_Stn15,2019-02-25T00:00:00+00:00,52.788250000000005,-147.52183315000002,POINT  ( -147.52183315   52.78825 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn16:neuston,GoA2019_Stn16,2019-02-26T00:00:00+00:00,53.787499999999994,-147.51124835,POINT  ( -147.51124835   53.7875 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn17:neuston,GoA2019_Stn17,2019-02-26T00:00:00+00:00,54.770583349999995,-147.4981667,POINT  ( -147.4981667   54.77058335 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn18:neuston,GoA2019_Stn18,2019-02-26T00:00:00+00:00,55.79033335,-147.51049985,POINT  ( -147.51049985   55.79033335 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn20:neuston,GoA2019_Stn20,2019-02-27T00:00:00+00:00,56.7846667,-145.95008335,POINT  ( -145.95008335   56.7846667 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn21:neuston,GoA2019_Stn21,2019-02-27T00:00:00+00:00,56.65275,-144.31499835,POINT  ( -144.31499835   56.65275 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn22:neuston,GoA2019_Stn22,2019-02-28T00:00:00+00:00,56.57058335,-142.84983334999998,POINT  ( -142.84983335   56.57058335 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn23:neuston,GoA2019_Stn23,2019-02-28T00:00:00+00:00,55.57324965,-143.05966669999998,POINT  ( -143.0596667   55.57324965 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn25:neuston,GoA2019_Stn25,2019-03-01T00:00:00+00:00,55.56233315,-145.97625,POINT  ( -145.97625   55.56233315 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn26:neuston,GoA2019_Stn26,2019-03-01T00:00:00+00:00,54.5468333,-146.002,POINT  ( -146.002   54.5468333 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn27:neuston,GoA2019_Stn27,2019-03-01T00:00:00+00:00,53.545,-145.98633335,POINT  ( -145.98633335   53.545 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn28:neuston,GoA2019_Stn28,2019-03-02T00:00:00+00:00,52.548916649999995,-146.02783334999998,POINT  ( -146.02783335   52.54891665 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn29:neuston,GoA2019_Stn29,2019-03-02T00:00:00+00:00,51.52283335,-146.0038333,POINT  ( -146.0038333   51.52283335 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn30:neuston,GoA2019_Stn30,2019-03-02T00:00:00+00:00,50.54608335,-146.01183335000002,POINT  ( -146.01183335   50.54608335 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn31:neuston,GoA2019_Stn31,2019-03-03T00:00:00+00:00,49.5464167,-146.00175000000002,POINT  ( -146.00175   49.5464167 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn32:neuston,GoA2019_Stn32,2019-03-03T00:00:00+00:00,48.654666649999996,-145.8374167,POINT  ( -145.8374167   48.65466665 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn33:neuston,GoA2019_Stn33,2019-03-03T00:00:00+00:00,48.7645,-144.4735,POINT  ( -144.4735   48.7645 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn34:neuston,GoA2019_Stn34,2019-03-04T00:00:00+00:00,49.77333335,-144.5225,POINT  ( -144.5225   49.77333335 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn35:neuston,GoA2019_Stn35,2019-03-04T00:00:00+00:00,50.763416649999996,-144.6124165,POINT  ( -144.6124165   50.76341665 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn36:neuston,GoA2019_Stn36,2019-03-04T00:00:00+00:00,51.77825,-144.5076665,POINT  ( -144.5076665   51.77825 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn37:neuston,GoA2019_Stn37,2019-03-05T00:00:00+00:00,52.78125,-144.485,POINT  ( -144.485   52.78125 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn38:neuston,GoA2019_Stn38,2019-03-05T00:00:00+00:00,53.772499999999994,-144.50083335,POINT  ( -144.50083335   53.7725 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn39:neuston,GoA2019_Stn39,2019-03-05T00:00:00+00:00,54.671,-144.29258335,POINT  ( -144.29258335   54.671 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn40:neuston,GoA2019_Stn40,2019-03-06T00:00:00+00:00,54.556083349999994,-143.00191665,POINT  ( -143.00191665   54.55608335 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn41:neuston,GoA2019_Stn41,2019-03-06T00:00:00+00:00,53.54616665,-143.0076667,POINT  ( -143.0076667   53.54616665 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn42:neuston,GoA2019_Stn42,2019-03-06T00:00:00+00:00,52.55458335,-143.02058334999998,POINT  ( -143.02058335   52.55458335 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn43:neuston,GoA2019_Stn43,2019-03-07T00:00:00+00:00,51.596333349999995,-143.00491664999998,POINT  ( -143.00491665   51.59633335 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn44:neuston,GoA2019_Stn44,2019-03-07T00:00:00+00:00,50.5881667,-142.87925,POINT  ( -142.87925   50.5881667 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn45:neuston,GoA2019_Stn45,2019-03-07T00:00:00+00:00,49.6254167,-142.80458335,POINT  ( -142.80458335   49.6254167 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn46:neuston,GoA2019_Stn46,2019-03-08T00:00:00+00:00,48.73399965,-142.84658335,POINT  ( -142.84658335   48.73399965 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn47:neuston,GoA2019_Stn47,2019-03-08T00:00:00+00:00,48.706,-141.32958335,POINT  ( -141.32958335   48.706 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn50:neuston,GoA2019_Stn50,2019-03-09T00:00:00+00:00,51.774333,-141.44849985000002,POINT  ( -141.44849985   51.774333 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn52:neuston,GoA2019_Stn52,2019-03-10T00:00:00+00:00,53.71875,-141.33141634999998,POINT  ( -141.33141635   53.71875 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn55:neuston,GoA2019_Stn55,2019-03-11T00:00:00+00:00,51.67425,-139.80325,POINT  ( -139.80325   51.67425 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn56:neuston,GoA2019_Stn56,2019-03-12T00:00:00+00:00,50.657083150000005,-139.80733329999998,POINT  ( -139.8073333   50.65708315 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn58:neuston,GoA2019_Stn58,2019-03-13T00:00:00+00:00,49.767166700000004,-138.45583334999998,POINT  ( -138.45583335   49.7671667 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn59:neuston,GoA2019_Stn59,2019-03-14T00:00:00+00:00,48.721999999999994,-138.34533335,POINT  ( -138.34533335   48.722 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn60:neuston,GoA2019_Stn60,2019-03-14T00:00:00+00:00,48.70108335,-136.82175,POINT  ( -136.82175   48.70108335 ),0,NA,NA,trawl,Event,EPSG:4326
GoA2019_Stn3:neuston:H,GoA2019_Stn3:neuston,2019-02-20T00:00:00+00:00,47.5555,-137.07033335,POINT  ( -137.07033335   47.5555 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn3:neuston:N,GoA2019_Stn3:neuston,2019-02-20T00:00:00+00:00,47.5555,-137.07033335,POINT  ( -137.07033335   47.5555 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn3:neuston:P,GoA2019_Stn3:neuston,2019-02-20T00:00:00+00:00,47.5555,-137.07033335,POINT  ( -137.07033335   47.5555 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn3:neuston:F,GoA2019_Stn3:neuston,2019-02-20T00:00:00+00:00,47.5555,-137.07033335,POINT  ( -137.07033335   47.5555 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn3:neuston:Total,GoA2019_Stn3:neuston,2019-02-20T00:00:00+00:00,47.5555,-137.07033335,POINT  ( -137.07033335   47.5555 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn4:neuston:H,GoA2019_Stn4:neuston,2019-02-21T00:00:00+00:00,47.6800833,-138.30599999999998,POINT  ( -138.306   47.6800833 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn4:neuston:N,GoA2019_Stn4:neuston,2019-02-21T00:00:00+00:00,47.6800833,-138.30599999999998,POINT  ( -138.306   47.6800833 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn4:neuston:P,GoA2019_Stn4:neuston,2019-02-21T00:00:00+00:00,47.6800833,-138.30599999999998,POINT  ( -138.306   47.6800833 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn4:neuston:F,GoA2019_Stn4:neuston,2019-02-21T00:00:00+00:00,47.6800833,-138.30599999999998,POINT  ( -138.306   47.6800833 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn4:neuston:Total,GoA2019_Stn4:neuston,2019-02-21T00:00:00+00:00,47.6800833,-138.30599999999998,POINT  ( -138.306   47.6800833 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn5:neuston:H,GoA2019_Stn5:neuston,2019-02-21T00:00:00+00:00,47.658583300000004,-139.84658335,POINT  ( -139.84658335   47.6585833 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn5:neuston:N,GoA2019_Stn5:neuston,2019-02-21T00:00:00+00:00,47.658583300000004,-139.84658335,POINT  ( -139.84658335   47.6585833 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn5:neuston:P,GoA2019_Stn5:neuston,2019-02-21T00:00:00+00:00,47.658583300000004,-139.84658335,POINT  ( -139.84658335   47.6585833 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn5:neuston:F,GoA2019_Stn5:neuston,2019-02-21T00:00:00+00:00,47.658583300000004,-139.84658335,POINT  ( -139.84658335   47.6585833 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn5:neuston:Total,GoA2019_Stn5:neuston,2019-02-21T00:00:00+00:00,47.658583300000004,-139.84658335,POINT  ( -139.84658335   47.6585833 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn6:neuston:H,GoA2019_Stn6:neuston,2019-02-22T00:00:00+00:00,47.56766665,-141.57733335,POINT  ( -141.57733335   47.56766665 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn6:neuston:N,GoA2019_Stn6:neuston,2019-02-22T00:00:00+00:00,47.56766665,-141.57733335,POINT  ( -141.57733335   47.56766665 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn6:neuston:P,GoA2019_Stn6:neuston,2019-02-22T00:00:00+00:00,47.56766665,-141.57733335,POINT  ( -141.57733335   47.56766665 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn6:neuston:F,GoA2019_Stn6:neuston,2019-02-22T00:00:00+00:00,47.56766665,-141.57733335,POINT  ( -141.57733335   47.56766665 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn6:neuston:Total,GoA2019_Stn6:neuston,2019-02-22T00:00:00+00:00,47.56766665,-141.57733335,POINT  ( -141.57733335   47.56766665 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn7:neuston:H,GoA2019_Stn7:neuston,2019-02-22T00:00:00+00:00,47.61983335,-143.18066665,POINT  ( -143.18066665   47.61983335 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn7:neuston:N,GoA2019_Stn7:neuston,2019-02-22T00:00:00+00:00,47.61983335,-143.18066665,POINT  ( -143.18066665   47.61983335 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn7:neuston:P,GoA2019_Stn7:neuston,2019-02-22T00:00:00+00:00,47.61983335,-143.18066665,POINT  ( -143.18066665   47.61983335 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn7:neuston:F,GoA2019_Stn7:neuston,2019-02-22T00:00:00+00:00,47.61983335,-143.18066665,POINT  ( -143.18066665   47.61983335 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn7:neuston:Total,GoA2019_Stn7:neuston,2019-02-22T00:00:00+00:00,47.61983335,-143.18066665,POINT  ( -143.18066665   47.61983335 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn8:neuston:H,GoA2019_Stn8:neuston,2019-02-23T00:00:00+00:00,47.67425,-144.66500000000002,POINT  ( -144.665   47.67425 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn8:neuston:N,GoA2019_Stn8:neuston,2019-02-23T00:00:00+00:00,47.67425,-144.66500000000002,POINT  ( -144.665   47.67425 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn8:neuston:P,GoA2019_Stn8:neuston,2019-02-23T00:00:00+00:00,47.67425,-144.66500000000002,POINT  ( -144.665   47.67425 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn8:neuston:F,GoA2019_Stn8:neuston,2019-02-23T00:00:00+00:00,47.67425,-144.66500000000002,POINT  ( -144.665   47.67425 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn8:neuston:Total,GoA2019_Stn8:neuston,2019-02-23T00:00:00+00:00,47.67425,-144.66500000000002,POINT  ( -144.665   47.67425 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn10:neuston:H,GoA2019_Stn10:neuston,2019-02-23T00:00:00+00:00,47.734,-147.6449167,POINT  ( -147.6449167   47.734 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn10:neuston:N,GoA2019_Stn10:neuston,2019-02-23T00:00:00+00:00,47.734,-147.6449167,POINT  ( -147.6449167   47.734 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn10:neuston:P,GoA2019_Stn10:neuston,2019-02-23T00:00:00+00:00,47.734,-147.6449167,POINT  ( -147.6449167   47.734 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn10:neuston:F,GoA2019_Stn10:neuston,2019-02-23T00:00:00+00:00,47.734,-147.6449167,POINT  ( -147.6449167   47.734 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn10:neuston:Total,GoA2019_Stn10:neuston,2019-02-23T00:00:00+00:00,47.734,-147.6449167,POINT  ( -147.6449167   47.734 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn15:neuston:H,GoA2019_Stn15:neuston,2019-02-25T00:00:00+00:00,52.788250000000005,-147.52183315000002,POINT  ( -147.52183315   52.78825 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn15:neuston:N,GoA2019_Stn15:neuston,2019-02-25T00:00:00+00:00,52.788250000000005,-147.52183315000002,POINT  ( -147.52183315   52.78825 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn15:neuston:P,GoA2019_Stn15:neuston,2019-02-25T00:00:00+00:00,52.788250000000005,-147.52183315000002,POINT  ( -147.52183315   52.78825 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn15:neuston:F,GoA2019_Stn15:neuston,2019-02-25T00:00:00+00:00,52.788250000000005,-147.52183315000002,POINT  ( -147.52183315   52.78825 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn15:neuston:Total,GoA2019_Stn15:neuston,2019-02-25T00:00:00+00:00,52.788250000000005,-147.52183315000002,POINT  ( -147.52183315   52.78825 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn16:neuston:H,GoA2019_Stn16:neuston,2019-02-26T00:00:00+00:00,53.787499999999994,-147.51124835,POINT  ( -147.51124835   53.7875 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn16:neuston:N,GoA2019_Stn16:neuston,2019-02-26T00:00:00+00:00,53.787499999999994,-147.51124835,POINT  ( -147.51124835   53.7875 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn16:neuston:P,GoA2019_Stn16:neuston,2019-02-26T00:00:00+00:00,53.787499999999994,-147.51124835,POINT  ( -147.51124835   53.7875 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn16:neuston:F,GoA2019_Stn16:neuston,2019-02-26T00:00:00+00:00,53.787499999999994,-147.51124835,POINT  ( -147.51124835   53.7875 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn16:neuston:Total,GoA2019_Stn16:neuston,2019-02-26T00:00:00+00:00,53.787499999999994,-147.51124835,POINT  ( -147.51124835   53.7875 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn17:neuston:H,GoA2019_Stn17:neuston,2019-02-26T00:00:00+00:00,54.770583349999995,-147.4981667,POINT  ( -147.4981667   54.77058335 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn17:neuston:N,GoA2019_Stn17:neuston,2019-02-26T00:00:00+00:00,54.770583349999995,-147.4981667,POINT  ( -147.4981667   54.77058335 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn17:neuston:P,GoA2019_Stn17:neuston,2019-02-26T00:00:00+00:00,54.770583349999995,-147.4981667,POINT  ( -147.4981667   54.77058335 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn17:neuston:F,GoA2019_Stn17:neuston,2019-02-26T00:00:00+00:00,54.770583349999995,-147.4981667,POINT  ( -147.4981667   54.77058335 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn17:neuston:Total,GoA2019_Stn17:neuston,2019-02-26T00:00:00+00:00,54.770583349999995,-147.4981667,POINT  ( -147.4981667   54.77058335 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn18:neuston:H,GoA2019_Stn18:neuston,2019-02-26T00:00:00+00:00,55.79033335,-147.51049985,POINT  ( -147.51049985   55.79033335 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn18:neuston:N,GoA2019_Stn18:neuston,2019-02-26T00:00:00+00:00,55.79033335,-147.51049985,POINT  ( -147.51049985   55.79033335 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn18:neuston:P,GoA2019_Stn18:neuston,2019-02-26T00:00:00+00:00,55.79033335,-147.51049985,POINT  ( -147.51049985   55.79033335 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn18:neuston:F,GoA2019_Stn18:neuston,2019-02-26T00:00:00+00:00,55.79033335,-147.51049985,POINT  ( -147.51049985   55.79033335 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn18:neuston:Total,GoA2019_Stn18:neuston,2019-02-26T00:00:00+00:00,55.79033335,-147.51049985,POINT  ( -147.51049985   55.79033335 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn20:neuston:H,GoA2019_Stn20:neuston,2019-02-27T00:00:00+00:00,56.7846667,-145.95008335,POINT  ( -145.95008335   56.7846667 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn20:neuston:N,GoA2019_Stn20:neuston,2019-02-27T00:00:00+00:00,56.7846667,-145.95008335,POINT  ( -145.95008335   56.7846667 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn20:neuston:P,GoA2019_Stn20:neuston,2019-02-27T00:00:00+00:00,56.7846667,-145.95008335,POINT  ( -145.95008335   56.7846667 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn20:neuston:F,GoA2019_Stn20:neuston,2019-02-27T00:00:00+00:00,56.7846667,-145.95008335,POINT  ( -145.95008335   56.7846667 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn20:neuston:Total,GoA2019_Stn20:neuston,2019-02-27T00:00:00+00:00,56.7846667,-145.95008335,POINT  ( -145.95008335   56.7846667 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn21:neuston:H,GoA2019_Stn21:neuston,2019-02-27T00:00:00+00:00,56.65275,-144.31499835,POINT  ( -144.31499835   56.65275 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn21:neuston:N,GoA2019_Stn21:neuston,2019-02-27T00:00:00+00:00,56.65275,-144.31499835,POINT  ( -144.31499835   56.65275 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn21:neuston:P,GoA2019_Stn21:neuston,2019-02-27T00:00:00+00:00,56.65275,-144.31499835,POINT  ( -144.31499835   56.65275 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn21:neuston:F,GoA2019_Stn21:neuston,2019-02-27T00:00:00+00:00,56.65275,-144.31499835,POINT  ( -144.31499835   56.65275 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn21:neuston:Total,GoA2019_Stn21:neuston,2019-02-27T00:00:00+00:00,56.65275,-144.31499835,POINT  ( -144.31499835   56.65275 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn22:neuston:H,GoA2019_Stn22:neuston,2019-02-28T00:00:00+00:00,56.57058335,-142.84983334999998,POINT  ( -142.84983335   56.57058335 ),0, , ,plasticType,Event,EPSG:4326
GoA2019_Stn22:neuston:N,GoA2019_Stn22:neuston,2019-02-28T00:00:00+00:00,56.57058335,-142.84983334999998,POINT  ( -142.84983335   56.57058335 ),0, , ,plasticType,Event,EPSG:4326
