measurementID,eventID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID,measurementRemarks
GoA2019_Stn52:cast1:depth,GoA2019_Stn52:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3800,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn53:cast1:depth,GoA2019_Stn53:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4600,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn54:cast1:depth,GoA2019_Stn54:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3600,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn55:cast1:depth,GoA2019_Stn55:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3800,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn56:cast1:depth,GoA2019_Stn56:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3700,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn57:cast1:depth,GoA2019_Stn57:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3220,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn58:cast1:depth,GoA2019_Stn58:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3900,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn59:cast1:depth,GoA2019_Stn59:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4050,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn60:cast1:depth,GoA2019_Stn60:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3800,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn1:cast1:niskin:5:P1:vol,GoA2019_Stn1:cast1:niskin:5:P1,volume_filtered,http://vocab.nerc.ac.uk/collection/S03/current/S0393/,2000,mL,http://vocab.nerc.ac.uk/collection/P06/current/VVML/,NA
