eventID,measurementRemarks,measurementType,measurementValue,measurementID,measurementTypeID,measurementUnit,measurementUnitID,occurrenceID,measurementValueID
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,individualCount,1,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-7,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,weight,TBD,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600253/,milligram,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-7,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length_type,OA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length_type,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,NA,NA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-7,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length,45.0,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-7,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,individualCount,1,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-8,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,weight,TBD,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600253/,milligram,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-8,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length_type,OA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length_type,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,NA,NA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-8,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,lifeStage,4.0,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:lifeStage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,NA,NA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-8,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length,44.0,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-8,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,individualCount,1,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-9,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,weight,TBD,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600253/,milligram,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-9,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length_type,OA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length_type,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,NA,NA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-9,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,lifeStage,4.0,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:lifeStage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,NA,NA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-9,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length,44.0,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-9,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,individualCount,1,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-10,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,weight,TBD,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600253/,milligram,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-10,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length_type,OA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length_type,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,NA,NA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-10,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length,44.0,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-10,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,individualCount,1,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-11,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,weight,TBD,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600253/,milligram,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-11,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length_type,OA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length_type,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,NA,NA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-11,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length,44.0,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-11,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,individualCount,1,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-12,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,weight,TBD,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600253/,milligram,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-12,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length_type,OA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length_type,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,NA,NA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-12,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length,44.0,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-12,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,individualCount,1,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-13,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,weight,TBD,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600253/,milligram,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-13,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length_type,OA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length_type,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,NA,NA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-13,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length,43.0,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-13,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,individualCount,1,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-14,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,weight,TBD,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600253/,milligram,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-14,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length_type,OA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length_type,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,NA,NA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-14,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length,43.0,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-14,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,individualCount,1,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-15,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,weight,TBD,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600253/,milligram,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-15,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length_type,OA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length_type,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,NA,NA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-15,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,lifeStage,4.0,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:lifeStage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,NA,NA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-15,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length,42.0,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-15,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,individualCount,1,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-16,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,weight,TBD,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600253/,milligram,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-16,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length_type,OA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length_type,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,NA,NA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-16,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length,39.0,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-16,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,individualCount,1,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-17,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,weight,TBD,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600253/,milligram,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-17,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length_type,OA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length_type,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,NA,NA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-17,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length,38.0,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-17,NA
IYS:GoA2019_Stn10:bongo:Net2:Z1,NA,length,1.0,IYS:GoA2019_Stn10:bongo:Net2:Z1:length,http://vocab.nerc.ac.uk/collection/S06/current/S0600015/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA,NA
IYS:GoA2019_Stn10:bongo:Net2:Z1,NA,individualCount,1.0,IYS:GoA2019_Stn10:bongo:Net2:Z1:count,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA,NA
IYS:GoA2019_Stn10:bongo:Net2:Z1,NA,minimumLength,NA,IYS:GoA2019_Stn10:bongo:Net2:Z1:minLength,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA,NA
IYS:GoA2019_Stn10:bongo:Net2:Z1,NA,maximumLength,NA,IYS:GoA2019_Stn10:bongo:Net2:Z1:maxLength,http://vocab.nerc.ac.uk/collection/P01/current/OBSMAXLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA,NA
IYS:GoA2019_Stn10:bongo:Net2:Z1,NA,weight,TBD,IYS:GoA2019_Stn10:bongo:Net2:Z1:weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600087/,milligram,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,NA,NA
