eventID,specificEpithet,scientificName,scientificNameID,scientificAuthorityName,individualCount,lifeStage,sex,taxonRank,taxonomicStatus,identificationQualifier,kingdom,phylum,class,order,family,genus,occurrenceID
IYS:GoA2019_Stn1:bongo:Net1,NA,Heterostylites,urn:lsid:marinespecies.org:taxname:104179,"Sars G.O., 1920",1,C2,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Heterorhabdidae,Heterostylites,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-23
IYS:GoA2019_Stn1:bongo:Net1,helicina,Limacina helicina,urn:lsid:marinespecies.org:taxname:140223,"(Phipps, 1774)",21,NA,NA,Species,accepted,NA,Animalia,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-24
IYS:GoA2019_Stn1:bongo:Net1,pacifica,Metridia pacifica,urn:lsid:marinespecies.org:taxname:196784,"Brodsky, 1950",9,C4,NA,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-25
IYS:GoA2019_Stn1:bongo:Net1,pacifica,Metridia pacifica,urn:lsid:marinespecies.org:taxname:196784,"Brodsky, 1950",3,C5,NA,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-26
IYS:GoA2019_Stn1:bongo:Net1,pacifica,Metridia pacifica,urn:lsid:marinespecies.org:taxname:196784,"Brodsky, 1950",1,C6,M,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-27
IYS:GoA2019_Stn1:bongo:Net1,NA,Metridia,urn:lsid:marinespecies.org:taxname:104190,"Boeck, 1865",14,C2,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-28
IYS:GoA2019_Stn1:bongo:Net1,NA,Metridia,urn:lsid:marinespecies.org:taxname:104190,"Boeck, 1865",8,C3,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-29
IYS:GoA2019_Stn1:bongo:Net1,NA,Metridia,urn:lsid:marinespecies.org:taxname:104190,"Boeck, 1865",1,C1,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-30
IYS:GoA2019_Stn1:bongo:Net1,C1,Neocalanus,urn:lsid:marinespecies.org:taxname:104155,"Sars G.O., 1925",21,NA,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-31
IYS:GoA2019_Stn1:bongo:Net1,C2,Neocalanus,urn:lsid:marinespecies.org:taxname:104155,"Sars G.O., 1925",6,NA,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-32
IYS:GoA2019_Stn1:bongo:Net1,C3,Neocalanus,urn:lsid:marinespecies.org:taxname:104155,"Sars G.O., 1925",2,NA,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-33
IYS:GoA2019_Stn1:bongo:Net1,atlantica,Oithona atlantica,urn:lsid:marinespecies.org:taxname:106642,"Farran, 1908",21,C6,F,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-34
IYS:GoA2019_Stn1:bongo:Net1,similis,Oithona similis,urn:lsid:marinespecies.org:taxname:106656,"Claus, 1866",70,C6,F,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-35
IYS:GoA2019_Stn1:bongo:Net1,NA,Oithona,urn:lsid:marinespecies.org:taxname:106485,"Baird, 1843",70,C5,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-36
IYS:GoA2019_Stn1:bongo:Net1,indicus,Paracalanus indicus,urn:lsid:marinespecies.org:taxname:104683,"Wolfenden, 1905",4,C6,F,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-37
IYS:GoA2019_Stn1:bongo:Net1,parvus,Paracalanus parvus,urn:lsid:marinespecies.org:taxname:104685,"(Claus, 1863)",36,C6,F,Species,alternate representation,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-38
IYS:GoA2019_Stn1:bongo:Net1,NA,Paracalanus,urn:lsid:marinespecies.org:taxname:104196,"Boeck, 1865",26,C5,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-39
IYS:GoA2019_Stn1:bongo:Net1,NA,Paracalanus,urn:lsid:marinespecies.org:taxname:104196,"Boeck, 1865",4,C4,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-40
IYS:GoA2019_Stn1:bongo:Net1,NA,Paraeuchaeta,urn:lsid:marinespecies.org:taxname:196874,"Scott A., 1909",2,C1,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Euchaetidae,Paraeuchaeta,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-41
IYS:GoA2019_Stn1:bongo:Net1,moultoni,Pseudocalanus moultoni,urn:lsid:marinespecies.org:taxname:157678,"Frost, 1989",3,C6,F,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-42
IYS:GoA2019_Stn1:bongo:Net1,moultoni,Pseudocalanus moultoni,urn:lsid:marinespecies.org:taxname:157678,"Frost, 1989",1,C6,M,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-43
IYS:GoA2019_Stn1:bongo:Net1,newmani,Pseudocalanus newmani,urn:lsid:marinespecies.org:taxname:157679,"Frost, 1989",9,C6,F,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-44
IYS:GoA2019_Stn1:bongo:Net1,newmani,Pseudocalanus newmani,urn:lsid:marinespecies.org:taxname:157679,"Frost, 1989",3,C6,M,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-45
IYS:GoA2019_Stn1:bongo:Net1,NA,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,"Boeck, 1872",7,C5,F,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-46
IYS:GoA2019_Stn1:bongo:Net1,NA,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,"Boeck, 1872",13,C5,M,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-47
IYS:GoA2019_Stn1:bongo:Net1,NA,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,"Boeck, 1872",6,C4,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-48
IYS:GoA2019_Stn1:bongo:Net1,NA,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,"Boeck, 1872",2,C3,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-49
IYS:GoA2019_Stn1:bongo:Net1,antarcticus,Racovitzanus antarcticus,urn:lsid:marinespecies.org:taxname:104784,"Giesbrecht, 1902",1,C6,F,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Scolecitrichidae,Racovitzanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-50
IYS:GoA2019_Stn1:bongo:Net1,antarcticus,Racovitzanus antarcticus,urn:lsid:marinespecies.org:taxname:104784,"Giesbrecht, 1902",1,C5,NA,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Scolecitrichidae,Racovitzanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-51
IYS:GoA2019_Stn1:bongo:Net1,NA,Racovitzanus,urn:lsid:marinespecies.org:taxname:104227,"Giesbrecht, 1902",2,C3,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Scolecitrichidae,Racovitzanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-52
IYS:GoA2019_Stn1:bongo:Net1,minor,Scolecithricella minor,urn:lsid:marinespecies.org:taxname:104811,"(Brady, 1883)",4,C5,NA,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Scolecitrichidae,Scolecithricella,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-53
IYS:GoA2019_Stn1:bongo:Net1,minor,Scolecithricella minor,urn:lsid:marinespecies.org:taxname:104811,"(Brady, 1883)",2,C6,F,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Scolecitrichidae,Scolecithricella,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-54
IYS:GoA2019_Stn1:bongo:Net1,NA,Spionidae,urn:lsid:marinespecies.org:taxname:913,"Grube, 1850",1,larva,NA,Family,accepted,sp. inc,Animalia,Annelida,Polychaeta,Spionida,Spionidae,NA,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-55
IYS:GoA2019_Stn1:bongo:Net1,hamata,Eukrohnia hamata,urn:lsid:marinespecies.org:taxname:105416,"(Möbius, 1875)",1,NA,NA,Species,accepted,NA,Animalia,Chaetognatha,Sagittoidea,Phragmophora,Eukrohniidae,Eukrohnia,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-56
IYS:GoA2019_Stn1:bongo:Net1,elegans,Parasagitta elegans,urn:lsid:marinespecies.org:taxname:105440,"(Verrill, 1873)",15,NA,NA,Species,accepted,NA,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Parasagitta,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-57
IYS:GoA2019_Stn1:bongo:Net1,scrippsae,Pseudosagitta scrippsae,urn:lsid:marinespecies.org:taxname:266259,"(Alvariño, 1962)",8,NA,NA,Species,unaccepted,NA,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Pseudosagitta,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-58
IYS:GoA2019_Stn2:bongo:Net1,digitale,Aglantha digitale,urn:lsid:marinespecies.org:taxname:117849,"(O. F. Müller, 1776)",2,NA,NA,Species,accepted,NA,Animalia,Cnidaria,Hydrozoa,Trachymedusae,Rhopalonematidae,Aglantha,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-59
IYS:GoA2019_Stn2:bongo:Net1,NA,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,NA,83,NA,NA,Phylum,accepted,sp. inc,Animalia,Chaetognatha,NA,NA,NA,NA,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-60
IYS:GoA2019_Stn2:bongo:Net1,limacina,Clione limacina,urn:lsid:marinespecies.org:taxname:139178,"(Phipps, 1774)",4,NA,NA,Species,accepted,NA,Animalia,Mollusca,Gastropoda,Pteropoda,Clionidae,Clione,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-61
IYS:GoA2019_Stn2:bongo:Net1,NA,Doliolidae,urn:lsid:marinespecies.org:taxname:137215,"Bronn, 1862",3,NA,NA,Family,accepted,sp. inc,Animalia,Chordata,Thaliacea,Doliolida,Doliolidae,NA,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-62
IYS:GoA2019_Stn2:bongo:Net1,nodifrons,Euaugaptilus nodifrons,urn:lsid:marinespecies.org:taxname:104406,"(Sars G.O., 1905)",1,C6,F,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Augaptilidae,Euaugaptilus,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-63
IYS:GoA2019_Stn2:bongo:Net1,bungii,Eucalanus bungii,urn:lsid:marinespecies.org:taxname:196775,"Giesbrecht, 1893",10,C5,F,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-64
IYS:GoA2019_Stn2:bongo:Net1,bungii,Eucalanus bungii,urn:lsid:marinespecies.org:taxname:196775,"Giesbrecht, 1893",34,C6,F,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-65
IYS:GoA2019_Stn2:bongo:Net1,bungii,Eucalanus bungii,urn:lsid:marinespecies.org:taxname:196775,"Giesbrecht, 1893",4,C6,M,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-66
IYS:GoA2019_Stn2:bongo:Net1,hamata,Eukrohnia hamata,urn:lsid:marinespecies.org:taxname:105416,"(Möbius, 1875)",177,NA,NA,Species,accepted,NA,Animalia,Chaetognatha,Sagittoidea,Phragmophora,Eukrohniidae,Eukrohnia,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-67
IYS:GoA2019_Stn2:bongo:Net1,pacifica,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",1,NA,NA,Species,accepted,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-68
IYS:GoA2019_Stn2:bongo:Net1,labradoriensis,Oikopleura (Vexillaria) labradoriensis,urn:lsid:marinespecies.org:taxname:103413,"Lohmann, 1892",29,NA,NA,Species,accepted,NA,Animalia,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-69
IYS:GoA2019_Stn2:bongo:Net1,elongata,Paraeuchaeta elongata,urn:lsid:marinespecies.org:taxname:196779,"(Esterly, 1913)",3,C6,F,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Euchaetidae,Paraeuchaeta,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-70
IYS:GoA2019_Stn2:bongo:Net1,elongata,Paraeuchaeta elongata,urn:lsid:marinespecies.org:taxname:196779,"(Esterly, 1913)",1,C5,M,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Euchaetidae,Paraeuchaeta,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-71
IYS:GoA2019_Stn2:bongo:Net1,elegans,Parasagitta elegans,urn:lsid:marinespecies.org:taxname:105440,"(Verrill, 1873)",223,NA,NA,Species,accepted,NA,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Parasagitta,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-72
IYS:GoA2019_Stn2:bongo:Net1,scrippsae,Pseudosagitta scrippsae,urn:lsid:marinespecies.org:taxname:266259,"(Alvariño, 1962)",2,NA,NA,Species,unaccepted,NA,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Pseudosagitta,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-73
IYS:GoA2019_Stn2:bongo:Net1,challengeri,Streetsia challengeri,urn:lsid:marinespecies.org:taxname:236592,"Stebbing, 1888",1,NA,NA,Species,accepted,NA,Animalia,Arthropoda,Malacostraca,Amphipoda,Oxycephalidae,Streetsia,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-74
IYS:GoA2019_Stn2:bongo:Net1,longipes,Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,"Brandt, 1851",1,NA,NA,Species,accepted,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-75
IYS:GoA2019_Stn2:bongo:Net1,septentrionalis,Tomopteris septentrionalis,urn:lsid:marinespecies.org:taxname:131568,"Steenstrup, 1849",7,NA,NA,Species,accepted,NA,Animalia,Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-76
IYS:GoA2019_Stn2:bongo:Net1,longiremis,Acartia longiremis,urn:lsid:marinespecies.org:taxname:104257,"(Lilljeborg, 1853)",3,C5,NA,Species,alternate representation,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-77
IYS:GoA2019_Stn2:bongo:Net1,minor,Alacia minor,urn:lsid:marinespecies.org:taxname:172451,"(McHardy, R.A., 1964)",2,NA,NA,Species,accepted,NA,Animalia,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Alacia,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-78
IYS:GoA2019_Stn2:bongo:Net1,NA,Atlanta,urn:lsid:marinespecies.org:taxname:137687,"Lesueur, 1817",2,NA,NA,Genus,accepted,sp. inc,Animalia,Mollusca,Gastropoda,Littorinimorpha,Atlantidae,Atlanta,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-79
IYS:GoA2019_Stn2:bongo:Net1,NA,Calanus,urn:lsid:marinespecies.org:taxname:104152,"Leach, 1816",6,C1,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-80
IYS:GoA2019_Stn2:bongo:Net1,NA,Calanus,urn:lsid:marinespecies.org:taxname:104152,"Leach, 1816",2,C2,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-81
IYS:GoA2019_Stn2:bongo:Net1,NA,Calanus,urn:lsid:marinespecies.org:taxname:104152,"Leach, 1816",1,C3,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-82
IYS:GoA2019_Stn2:bongo:Net1,styliremis,Calocalanus styliremis,urn:lsid:marinespecies.org:taxname:104673,"Giesbrecht, 1888",4,C6,F,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Calocalanus,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-83
IYS:GoA2019_Stn2:bongo:Net1,NA,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,NA,13,juvenile,NA,Phylum,accepted,sp. inc,Animalia,Chaetognatha,NA,NA,NA,NA,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-84
IYS:GoA2019_Stn2:bongo:Net1,parapergens,Clausocalanus parapergens,urn:lsid:marinespecies.org:taxname:104507,"Frost & Fleminger, 1968",5,C6,F,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,IYS:GoA2019_Stn2:bongo:Net1:zoop_occ-85
