eventID,eventDate,year,month,decimalLatitude,decimalLongitude,footprintWKT,coordinateUncertaintyInMeters,type,geodeticDatum
npmsdd-33-1550-pr5,1993-06/07,1993,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1550-pr6,1993-06/07,1993,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1550-pr7,1993-06/07,1993,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1551-pr1,1994-06/07,1994,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1551-pr2,1994-06/07,1994,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1551-pr3,1994-06/07,1994,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1551-pr4,1994-06/07,1994,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1552-pr1,1995-06/07,1995,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1552-pr2,1995-06/07,1995,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1552-pr3,1995-06/07,1995,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1552-pr4,1995-06/07,1995,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1552-pr5,1995-06/07,1995,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1552-pr6,1995-06/07,1995,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1552-pr7,1995-06/07,1995,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1553-pr1,1996-06/07,1996,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1553-pr2,1996-06/07,1996,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1553-pr3,1996-06/07,1996,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1553-pr4,1996-06/07,1996,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1553-pr5,1996-06/07,1996,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1553-pr6,1996-06/07,1996,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1554-pr1,1997-06/07,1997,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1554-pr2,1997-06/07,1997,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1554-pr3,1997-06/07,1997,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1554-pr4,1997-06/07,1997,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1554-pr5,1997-06/07,1997,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1554-pr6,1997-06/07,1997,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1554-pr7,1997-06/07,1997,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1555-pr1,1998-06/07,1998,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1555-pr2,1998-06/07,1998,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1555-pr3,1998-06/07,1998,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1555-pr4,1998-06/07,1998,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1555-pr5,1998-06/07,1998,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1555-pr6,1998-06/07,1998,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1555-pr7,1998-06/07,1998,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1556-pr1,1999-06/07,1999,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1556-pr2,1999-06/07,1999,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1556-pr3,1999-06/07,1999,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1556-pr4,1999-06/07,1999,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1556-pr5,1999-06/07,1999,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1556-pr6,1999-06/07,1999,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1556-pr7,1999-06/07,1999,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1557-pr1,2000-06/07,2000,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1557-pr2,2000-06/07,2000,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1557-pr3,2000-06/07,2000,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1557-pr4,2000-06/07,2000,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1557-pr5,2000-06/07,2000,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1557-pr6,2000-06/07,2000,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1557-pr7,2000-06/07,2000,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1558-pr1,2001-06/07,2001,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1558-pr2,2001-06/07,2001,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1558-pr3,2001-06/07,2001,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1558-pr4,2001-06/07,2001,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1558-pr5,2001-06/07,2001,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1558-pr6,2001-06/07,2001,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1558-pr7,2001-06/07,2001,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1558-pr8,2001-06/07,2001,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1559-pr1,2002-06/07,2002,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1559-pr2,2002-06/07,2002,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1559-pr3,2002-06/07,2002,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1559-pr4,2002-06/07,2002,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1559-pr5,2002-06/07,2002,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1559-pr6,2002-06/07,2002,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1559-pr7,2002-06/07,2002,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1566-pr1,1997-06/07,1997,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1566-pr2,1997-06/07,1997,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1566-pr3,1997-06/07,1997,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1566-pr4,1997-06/07,1997,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1566-pr5,1997-06/07,1997,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1566-pr6,1997-06/07,1997,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1566-pr7,1997-06/07,1997,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1566-pr8,1997-06/07,1997,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1567-pr1,1998-06/07,1998,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1567-pr2,1998-06/07,1998,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1567-pr3,1998-06/07,1998,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1567-pr4,1998-06/07,1998,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1568-pr1,1999-06/07,1999,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1568-pr2,1999-06/07,1999,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1568-pr3,1999-06/07,1999,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1568-pr4,1999-06/07,1999,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1568-pr5,1999-06/07,1999,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1569-pr1,2000-06/07,2000,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1569-pr2,2000-06/07,2000,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1569-pr3,2000-06/07,2000,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1569-pr4,2000-06/07,2000,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1570-pr1,2001-06/07,2001,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1570-pr2,2001-06/07,2001,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1570-pr3,2001-06/07,2001,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1570-pr4,2001-06/07,2001,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1570-pr5,2001-06/07,2001,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1571-pr1,2002-06/07,2002,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1571-pr2,2002-06/07,2002,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1571-pr3,2002-06/07,2002,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1571-pr4,2002-06/07,2002,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1572-pr1,2003-06/07,2003,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1572-pr2,2003-06/07,2003,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1573-pr1,2004-06/07,2004,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1573-pr2,2004-06/07,2004,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1573-pr3,2004-06/07,2004,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1573-pr4,2004-06/07,2004,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1573-pr5,2004-06/07,2004,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1574-pr1,2005-06/07,2005,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1574-pr2,2005-06/07,2005,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1574-pr3,2005-06/07,2005,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1574-pr4,2005-06/07,2005,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
npmsdd-33-1574-pr5,2005-06/07,2005,NA,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,Event,EPSG:4326
