eventID,measurementID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID,measurementValueID
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:ind_per_cubic_meter_corr,NA,NA,75,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
NA,IYS:GoA2019_Stn56:juday:length_maximum,NA,NA,0.25,NA,NA,NA
