eventID,parentEventID,eventDate,year,month,day,decimalLatitude,decimalLongitude,footprintWKT,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,samplingProtocol,locality,locationID,type,fieldNotes
IYS:GoA2019_Stn31:trawl:sample:1192,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1193,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1194,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1195,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1196,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1197,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1198,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1199,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1200,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1201,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1202,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn31:trawl:sample:1203,IYS:GoA2019_Stn31:trawl,2019-03-03T09:32:00Z,2019,3,3,49.36450004401815,-146.002,"LINESTRING ( -146.002 49.387 , -146.002 49.342 )",2502.377863157319,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
