eventID,occurrenceID,occurrenceStatus,organismQuantity,organismQuantityType,scientificName,scientificNameID,identificationQualifier,scientificNameAuthorship,taxonomicStatus,taxonRank,kingdom,phylum,class,order,family,genus.y,lifeStage,sex,occurrenceRemarks
IYS:GoA2019_Stn2:trawl:sample:36,IYS:GoA2019_Stn2:trawl:sample:36:occ-36,present,1,individual,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA
IYS:GoA2019_Stn2:trawl:sample:37,IYS:GoA2019_Stn2:trawl:sample:37:occ-37,present,1,individual,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA
IYS:GoA2019_Stn3:trawl,IYS:GoA2019_Stn3:trawl:occ-15,present,2,individuals,Abraliopsis felis,urn:lsid:marinespecies.org:taxname:341849,NA,"McGowan & Okutani, 1968",alternate representation,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,NA,NA,NA
IYS:GoA2019_Stn3:trawl,IYS:GoA2019_Stn3:trawl:occ-16,present,1,individuals,Aurelia limbata,urn:lsid:marinespecies.org:taxname:158199,NA,"Brandt, 1835",accepted,Species,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,NA,NA,NA
IYS:GoA2019_Stn3:trawl,IYS:GoA2019_Stn3:trawl:occ-17,present,43,individuals,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,NA,NA
IYS:GoA2019_Stn3:trawl,IYS:GoA2019_Stn3:trawl:occ-18,present,9,individuals,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,NA,NA
IYS:GoA2019_Stn3:trawl,IYS:GoA2019_Stn3:trawl:occ-19,present,1,individuals,Corolla calceola,urn:lsid:marinespecies.org:taxname:532663,NA,"(A. E. Verrill, 1880)",accepted,Species,Animalia,Mollusca,Gastropoda,Pteropoda,Cymbuliidae,Corolla,NA,NA,NA
IYS:GoA2019_Stn3:trawl,IYS:GoA2019_Stn3:trawl:occ-20,present,17,individuals,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,NA,"(Mertens, 1833)",accepted,Species,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,NA,NA,NA
IYS:GoA2019_Stn3:trawl,IYS:GoA2019_Stn3:trawl:occ-21,present,1,individuals,Lestidium ringens,urn:lsid:marinespecies.org:taxname:308673,NA,"(Jordan & Gilbert, 1880)",unaccepted,Species,Animalia,Chordata,Actinopterygii,Aulopiformes,Paralepididae,Lestidium,NA,NA,NA
IYS:GoA2019_Stn3:trawl,IYS:GoA2019_Stn3:trawl:occ-22,present,1,individuals,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,NA,"(Walbaum, 1792)",accepted,Species,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,NA,NA,NA
IYS:GoA2019_Stn3:trawl,IYS:GoA2019_Stn3:trawl:occ-23,present,1,individuals,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,NA,"(Walbaum, 1792)",accepted,Species,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,NA,NA,NA
IYS:GoA2019_Stn3:trawl,IYS:GoA2019_Stn3:trawl:occ-24,present,21,individuals,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,NA,"Okada, 1927",accepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,NA,NA,NA
IYS:GoA2019_Stn3:trawl,IYS:GoA2019_Stn3:trawl:occ-25,present,2,individuals,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,NA,"Brandt, 1835",accepted,Species,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,NA,NA,NA
IYS:GoA2019_Stn3:trawl,IYS:GoA2019_Stn3:trawl:occ-26,present,1,individuals,Squalus acanthias,urn:lsid:marinespecies.org:taxname:105923,NA,"Linnaeus, 1758",accepted,Species,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,NA,NA,NA
IYS:GoA2019_Stn3:trawl,IYS:GoA2019_Stn3:trawl:occ-27,present,48,individuals,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,NA,NA
IYS:GoA2019_Stn3:trawl:sample:38,IYS:GoA2019_Stn3:trawl:sample:38:occ-38,present,1,individual,Abraliopsis felis,urn:lsid:marinespecies.org:taxname:341849,NA,"McGowan & Okutani, 1968",alternate representation,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,NA,NA,NA
IYS:GoA2019_Stn3:trawl:sample:39,IYS:GoA2019_Stn3:trawl:sample:39:occ-39,present,1,individual,Abraliopsis felis,urn:lsid:marinespecies.org:taxname:341849,NA,"McGowan & Okutani, 1968",alternate representation,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,NA,NA,NA
IYS:GoA2019_Stn3:trawl:sample:40,IYS:GoA2019_Stn3:trawl:sample:40:occ-40,present,1,individual,Aurelia limbata,urn:lsid:marinespecies.org:taxname:158199,NA,"Brandt, 1835",accepted,Species,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,NA,unknown,NA
IYS:GoA2019_Stn3:trawl:sample:41,IYS:GoA2019_Stn3:trawl:sample:41:occ-41,present,1,individual,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA
IYS:GoA2019_Stn3:trawl:sample:42,IYS:GoA2019_Stn3:trawl:sample:42:occ-42,present,1,individual,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA
IYS:GoA2019_Stn3:trawl:sample:43,IYS:GoA2019_Stn3:trawl:sample:43:occ-43,present,1,individual,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA
IYS:GoA2019_Stn3:trawl:sample:44,IYS:GoA2019_Stn3:trawl:sample:44:occ-44,present,1,individual,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA
IYS:GoA2019_Stn3:trawl:sample:45,IYS:GoA2019_Stn3:trawl:sample:45:occ-45,present,1,individual,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA
IYS:GoA2019_Stn3:trawl:sample:46,IYS:GoA2019_Stn3:trawl:sample:46:occ-46,present,1,individual,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,unknown,NA
IYS:GoA2019_Stn3:trawl:sample:47,IYS:GoA2019_Stn3:trawl:sample:47:occ-47,present,1,individual,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,unknown,NA
IYS:GoA2019_Stn3:trawl:sample:48,IYS:GoA2019_Stn3:trawl:sample:48:occ-48,present,1,individual,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,unknown,NA
IYS:GoA2019_Stn3:trawl:sample:49,IYS:GoA2019_Stn3:trawl:sample:49:occ-49,present,1,individual,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,unknown,NA
IYS:GoA2019_Stn3:trawl:sample:50,IYS:GoA2019_Stn3:trawl:sample:50:occ-50,present,1,individual,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,unknown,NA
IYS:GoA2019_Stn3:trawl:sample:51,IYS:GoA2019_Stn3:trawl:sample:51:occ-51,present,1,individual,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,unknown,NA
IYS:GoA2019_Stn3:trawl:sample:52,IYS:GoA2019_Stn3:trawl:sample:52:occ-52,present,1,individual,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,unknown,NA
IYS:GoA2019_Stn3:trawl:sample:53,IYS:GoA2019_Stn3:trawl:sample:53:occ-53,present,1,individual,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,unknown,NA
IYS:GoA2019_Stn3:trawl:sample:54,IYS:GoA2019_Stn3:trawl:sample:54:occ-54,present,1,individual,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,unknown,NA
