eventID,parentEventID,eventDate,decimalLatitude,decimalLongitude,footprintWKT,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,year,month,day
IYS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020,IYS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn1,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn2,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn3,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn4,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn6,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn7,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn8,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn9,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn10,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn11,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn12,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn13,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn14,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn16,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn17,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn18,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn20,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn21,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn22,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn23,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn24,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn25,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn26,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn27,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn28,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn25:Sample:W1790,IYS:GoA2020_Stn25,2020-03-24T00:00:00Z,54.5483499242334,-133.97164601418507,"LINESTRING ( -134.035 54.5616666666667 , -133.908333333333 54.535 )",4358.832376953514, , ,2020,3,24
IYS:GoA2020_Stn26:Sample:W1791,IYS:GoA2020_Stn26,2020-03-26T00:00:00Z,54.40004638188887,-132.52913663454203,"LINESTRING ( -132.423333333333 54.3883333333333 , -132.635 54.4116666666667 )",6995.003037694998, , ,2020,3,26
IYS:GoA2020_Stn27:Sample:W1793,IYS:GoA2020_Stn27,2020-03-26T00:00:00Z,54.396691534284464,-133.92416038400836,"LINESTRING ( -134.001666666667 54.4 , -133.846666666667 54.3933333333333 )",5047.34075353956, , ,2020,3,26
IYS:GoA2020_Stn28:Sample:W1796,IYS:GoA2020_Stn28,2020-03-26T00:00:00Z,53.38250652269379,-133.9891353131502,"LINESTRING ( -134.028333333333 53.4166666666667 , -133.95 53.3483333333333 )",4609.957335530908, , ,2020,3,26
IYS:GoA2020_Stn29:Sample:W1797,IYS:GoA2020_Stn29,2020-03-27T00:00:00Z,53.395851050425655,-135.545026664306,"LINESTRING ( -135.48 53.4133333333333 , -135.61 53.3783333333333 )",4742.302805230297, , ,2020,3,27
IYS:GoA2020_Stn30:Sample:W1799,IYS:GoA2020_Stn30,2020-03-27T00:00:00Z,53.394184375180465,-136.9633117492584,"LINESTRING ( -137.028333333333 53.4083333333333 , -136.898333333333 53.38 )",4602.548750528, , ,2020,3,27
IYS:GoA2020_Stn31:Sample:W2101,IYS:GoA2020_Stn31,2020-03-28T00:00:00Z,52.64586013070734,-136.96208396563125,"LINESTRING ( -137.033333333333 52.9033333333333 , -136.891666666667 52.3883333333333 )",29052.79853468616, , ,2020,3,28
IYS:GoA2020_Stn32:Sample:W2051,IYS:GoA2020_Stn32,2020-03-28T00:00:00Z,52.398351662861785,-138.5841666666665,"LINESTRING ( -138.65 52.3983333333333 , -138.518333333333 52.3983333333333 )",4481.062019157781, , ,2020,3,28
IYS:GoA2020_Stn33:Sample:W2053,IYS:GoA2020_Stn33,2020-03-29T00:00:00Z,51.40418610614158,-138.51249141253552,"LINESTRING ( -138.58 51.41 , -138.445 51.3983333333333 )",4741.681767103345, , ,2020,3,29
IYS:GoA2020_Stn34:Sample:W2055,IYS:GoA2020_Stn34,2020-03-31T00:00:00Z,50.39251738959806,-138.49189994887794,"LINESTRING ( -138.5555 50.405 , -138.428333333333 50.38 )",4730.404807448539, , ,2020,3,31
IYS:GoA2020_Stn35:Sample:W2057,IYS:GoA2020_Stn35,2020-03-31T00:00:00Z,49.423334433894894,-138.50498831487755,"LINESTRING ( -138.52 49.4616666666667 , -138.49 49.385 )",4400.052680162125, , ,2020,3,31
IYS:GoA2020_Stn36:Sample:W2059,IYS:GoA2020_Stn36,2020-03-31T00:00:00Z,49.39500017795704,-140.00083121858754,"LINESTRING ( -140.003333333333 49.4366666666667 , -139.998333333333 49.3533333333333 )",4637.609814347807, , ,2020,3,31
