occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementMethod
IYS:GoA2020_Stn3:trawl:occ-17,IYS:GoA2020_Stn3:trawl:occ-17-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,NA,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,NA
IYS:GoA2020_Stn3:trawl:occ-18,IYS:GoA2020_Stn3:trawl:occ-18-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,165,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn3:trawl:occ-18,IYS:GoA2020_Stn3:trawl:occ-18-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,NA,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,NA
IYS:GoA2020_Stn4:trawl:occ-19,IYS:GoA2020_Stn4:trawl:occ-19-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,8,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn4:trawl:occ-19,IYS:GoA2020_Stn4:trawl:occ-19-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.015,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn4:trawl:occ-20,IYS:GoA2020_Stn4:trawl:occ-20-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,10,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn4:trawl:occ-20,IYS:GoA2020_Stn4:trawl:occ-20-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,NA,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,NA
IYS:GoA2020_Stn4:trawl:occ-21,IYS:GoA2020_Stn4:trawl:occ-21-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,96,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn4:trawl:occ-21,IYS:GoA2020_Stn4:trawl:occ-21-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,NA,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,NA
IYS:GoA2020_Stn4:trawl:occ-22,IYS:GoA2020_Stn4:trawl:occ-22-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,6,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn4:trawl:occ-22,IYS:GoA2020_Stn4:trawl:occ-22-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.043,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn4:trawl:occ-23,IYS:GoA2020_Stn4:trawl:occ-23-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,301,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn4:trawl:occ-23,IYS:GoA2020_Stn4:trawl:occ-23-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.185,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn4:trawl:occ-24,IYS:GoA2020_Stn4:trawl:occ-24-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,44,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn4:trawl:occ-24,IYS:GoA2020_Stn4:trawl:occ-24-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.128,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn4:trawl:occ-25,IYS:GoA2020_Stn4:trawl:occ-25-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn4:trawl:occ-25,IYS:GoA2020_Stn4:trawl:occ-25-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.02,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
