eventID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
IYS:GoA2020_Stn:S28:bongo:Net1,IYS:GoA2020_Stn:S28:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2000,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:S28:bongo:Net2,IYS:GoA2020_Stn:S28:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2000,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:S27:bongo:Net1,IYS:GoA2020_Stn:S27:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3300,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:S27:bongo:Net2,IYS:GoA2020_Stn:S27:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3300,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:Y27:bongo:Net1,IYS:GoA2020_Stn:Y27:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4100,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:Y27:bongo:Net2,IYS:GoA2020_Stn:Y27:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4100,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:AJ:bongo:Net1,IYS:GoA2020_Stn:AJ:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3700,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:AJ:bongo:Net2,IYS:GoA2020_Stn:AJ:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3700,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:AI:bongo:Net1,IYS:GoA2020_Stn:AI:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3800,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:AI:bongo:Net2,IYS:GoA2020_Stn:AI:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3800,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:AH:bongo:Net1,IYS:GoA2020_Stn:AH:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3850,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:AH:bongo:Net2,IYS:GoA2020_Stn:AH:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3850,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:AK:bongo:Net1,IYS:GoA2020_Stn:AK:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:AK:bongo:Net2,IYS:GoA2020_Stn:AK:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:AL:bongo:Net1,IYS:GoA2020_Stn:AL:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4070,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:AL:bongo:Net2,IYS:GoA2020_Stn:AL:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4070,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:AM:bongo:Net1,IYS:GoA2020_Stn:AM:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3600,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:AM:bongo:Net2,IYS:GoA2020_Stn:AM:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3600,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:I:bongo:Net1,IYS:GoA2020_Stn:I:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4250,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:I:bongo:Net2,IYS:GoA2020_Stn:I:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4250,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:AV:bongo:Net1,IYS:GoA2020_Stn:AV:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:AV:bongo:Net2,IYS:GoA2020_Stn:AV:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:AW:bongo:Net1,IYS:GoA2020_Stn:AW:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:AW:bongo:Net2,IYS:GoA2020_Stn:AW:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:AX:bongo:Net1,IYS:GoA2020_Stn:AX:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3200,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:AX:bongo:Net2,IYS:GoA2020_Stn:AX:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3200,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:1:bongo:Net1,IYS:GoA2020_Stn:1:bongo:Net1:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,492.8696529,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:1:bongo:Net1,IYS:GoA2020_Stn:1:bongo:Net1:Volume filtered as estimated by flowmeter,Volume filtered as estimated by flowmeter,NA,96.72566938,NA,NA,NA
IYS:GoA2020_Stn:1:bongo:Net1,IYS:GoA2020_Stn:1:bongo:Net1:Volume filtered as estimated by depth-estimate,Volume filtered as estimated by depth-estimate,NA,49.0625,NA,NA,NA
IYS:GoA2020_Stn:1:bongo:Net1,IYS:GoA2020_Stn:1:bongo:Net1:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,meter per second,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:1:bongo:Net2,IYS:GoA2020_Stn:1:bongo:Net2:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,498.7013167,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:1:bongo:Net2,IYS:GoA2020_Stn:1:bongo:Net2:Volume filtered as estimated by flowmeter,Volume filtered as estimated by flowmeter,NA,97.8701334,NA,NA,NA
IYS:GoA2020_Stn:1:bongo:Net2,IYS:GoA2020_Stn:1:bongo:Net2:Volume filtered as estimated by depth-estimate,Volume filtered as estimated by depth-estimate,NA,49.0625,NA,NA,NA
IYS:GoA2020_Stn:1:bongo:Net2,IYS:GoA2020_Stn:1:bongo:Net2:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,meter per second,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:2:bongo:Net1,IYS:GoA2020_Stn:2:bongo:Net1:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,449.1993592,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:2:bongo:Net1,IYS:GoA2020_Stn:2:bongo:Net1:Volume filtered as estimated by flowmeter,Volume filtered as estimated by flowmeter,NA,88.15537424,NA,NA,NA
IYS:GoA2020_Stn:2:bongo:Net1,IYS:GoA2020_Stn:2:bongo:Net1:Volume filtered as estimated by depth-estimate,Volume filtered as estimated by depth-estimate,NA,49.0625,NA,NA,NA
IYS:GoA2020_Stn:2:bongo:Net1,IYS:GoA2020_Stn:2:bongo:Net1:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,meter per second,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
