eventID,occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
IYS:GoA2020_Stn::bongo:Net2,NA,IYS:GoA2020_Stn::bongo:Net2:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,219.5876736,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn::bongo:Net2,NA,IYS:GoA2020_Stn::bongo:Net2:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,43.09408094,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn::bongo:Net2,NA,IYS:GoA2020_Stn::bongo:Net2:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn::bongo:Net2,NA,IYS:GoA2020_Stn::bongo:Net2:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:11:bongo:Net1,NA,IYS:GoA2020_Stn:11:bongo:Net1:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,230.982261,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:11:bongo:Net1,NA,IYS:GoA2020_Stn:11:bongo:Net1:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,45.33026872,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:11:bongo:Net1,NA,IYS:GoA2020_Stn:11:bongo:Net1:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:11:bongo:Net1,NA,IYS:GoA2020_Stn:11:bongo:Net1:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:11:bongo:Net2,NA,IYS:GoA2020_Stn:11:bongo:Net2:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,219.8832879,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:11:bongo:Net2,NA,IYS:GoA2020_Stn:11:bongo:Net2:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,43.15209525,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:11:bongo:Net2,NA,IYS:GoA2020_Stn:11:bongo:Net2:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:11:bongo:Net2,NA,IYS:GoA2020_Stn:11:bongo:Net2:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:12:bongo:Net1,NA,IYS:GoA2020_Stn:12:bongo:Net1:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,268.041544,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:12:bongo:Net1,NA,IYS:GoA2020_Stn:12:bongo:Net1:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,52.60315302,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:12:bongo:Net1,NA,IYS:GoA2020_Stn:12:bongo:Net1:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:12:bongo:Net1,NA,IYS:GoA2020_Stn:12:bongo:Net1:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:12:bongo:Net2,NA,IYS:GoA2020_Stn:12:bongo:Net2:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,277.1787132,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:12:bongo:Net2,NA,IYS:GoA2020_Stn:12:bongo:Net2:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,54.39632246,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:12:bongo:Net2,NA,IYS:GoA2020_Stn:12:bongo:Net2:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:12:bongo:Net2,NA,IYS:GoA2020_Stn:12:bongo:Net2:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:13:bongo:Net1,NA,IYS:GoA2020_Stn:13:bongo:Net1:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,308.3525844,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:13:bongo:Net1,NA,IYS:GoA2020_Stn:13:bongo:Net1:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,60.51419468,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:13:bongo:Net1,NA,IYS:GoA2020_Stn:13:bongo:Net1:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:13:bongo:Net1,NA,IYS:GoA2020_Stn:13:bongo:Net1:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:13:bongo:Net2,NA,IYS:GoA2020_Stn:13:bongo:Net2:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,326.6806707,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:13:bongo:Net2,NA,IYS:GoA2020_Stn:13:bongo:Net2:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,64.11108162,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
