eventID,parentEventID,eventDate,decimalLatitude,decimalLongitude,minimumDepthInMetres,maximumDepthInMetres,sampleSizeValue,eventRemarks,sampleSizeUnit,samplingProtocol,samplingEffort,footprintWKT,coordinateUncertaintyInMeters,type,geodeticDatum
IYS:GoA2020_Stn:4:bongo:Net1,IYS:GoA2020_Stn:4,2020-03-16T04:02:00Z,47.4275,-138.46816666666666,250,250,39.19130039,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -138.468166666667   47.4275 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:4:bongo:Net2,IYS:GoA2020_Stn:4,2020-03-16T04:02:00Z,47.4275,-138.46816666666666,250,250,77.84992397,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -138.468166666667   47.4275 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:5:bongo:Net1,IYS:GoA2020_Stn:5,2020-03-16T15:55:00Z,47.4275,-139.99233333333333,250,250,62.3601044,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -139.992333333333   47.4275 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:5:bongo:Net2,IYS:GoA2020_Stn:5,2020-03-16T15:55:00Z,47.4275,-139.99233333333333,250,250,68.48325065,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -139.992333333333   47.4275 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:6:bongo:Net1,IYS:GoA2020_Stn:6,2020-03-17T01:17:00Z,47.425,-141.4795,250,250,48.49468538,Decent angle on wire during bongo cast,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -141.4795   47.425 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:6:bongo:Net2,IYS:GoA2020_Stn:6,2020-03-17T01:17:00Z,47.425,-141.4795,250,250,54.23810163,Decent angle on wire during bongo cast,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -141.4795   47.425 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:7:bongo:Net1,IYS:GoA2020_Stn:7,2020-03-17T09:59:00Z,47.4325,-142.98083333333332,250,250,43.64257983,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -142.980833333333   47.4325 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:7:bongo:Net2,IYS:GoA2020_Stn:7,2020-03-17T09:59:00Z,47.4325,-142.98083333333332,250,250,42.94113414,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -142.980833333333   47.4325 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:8:bongo:Net1,IYS:GoA2020_Stn:8,2020-03-17T19:45:00Z,48.3838333333333,-143.0095,250,250,49.16448691,Issues with bongo tucking under the vessel; some brief pauses during net retrival,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -143.0095   48.3838333333333 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:8:bongo:Net2,IYS:GoA2020_Stn:8,2020-03-17T19:45:00Z,48.3838333333333,-143.0095,250,250,49.16976094,Issues with bongo tucking under the vessel; some brief pauses during net retrival,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -143.0095   48.3838333333333 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:9:bongo:Net1,IYS:GoA2020_Stn:9,2020-03-18T04:08:00Z,48.4016666666667,-144.488,250,250,41.71228566,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -144.488   48.4016666666667 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:9:bongo:Net2,IYS:GoA2020_Stn:9,2020-03-18T04:08:00Z,48.4016666666667,-144.488,250,250,41.50659858,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -144.488   48.4016666666667 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:10:bongo:Net1,IYS:GoA2020_Stn:10,2020-03-18T12:49:00Z,48.4213333333333,-145.994,250,250,37.23991011,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -145.994   48.4213333333333 ),0,PreservedSpecimen,EPSG:4326 WGS84
