eventID,occurrenceID,occurrenceStatus,scientificName,scientificNameID,organismQuantity,scientificAuthorityName,taxonRank,taxonomicStatus,lifeStage,sex,parentNameUsageID,kingdom,phylum,class,order,family,genus,occurrenceRemarks
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:11,present,Eukrohnia hamata,urn:lsid:marinespecies.org:taxname:105416,68,"(Möbius, 1875)",Species,accepted,NA,NA,105399,Animalia,Chaetognatha,Sagittoidea,Phragmophora,Eukrohniidae,Eukrohnia,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:12,present,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,1,"Hansen, 1911",Species,accepted,NA,NA,110673,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:13,present,Lensia conoidea,urn:lsid:marinespecies.org:taxname:135426,5,"(Keferstein & Ehlers, 1860)",Species,accepted,NA,NA,135365,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Lensia,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:14,present,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,15,"(Krøyer, 1848)",Species,accepted,C4,NA,104155,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:15,present,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,4,"(Krøyer, 1848)",Species,accepted,C5,NA,104155,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:16,present,Parasagitta elegans,urn:lsid:marinespecies.org:taxname:105440,100,"(Verrill, 1873)",Species,accepted,NA,NA,105408,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Parasagitta,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:17,present,Primno abyssalis,urn:lsid:marinespecies.org:taxname:421603,2,"(Bowman, 1968)",Species,accepted,NA,F,101806,Animalia,Arthropoda,Malacostraca,Amphipoda,Phrosinidae,Primno,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:18,present,Primno abyssalis,urn:lsid:marinespecies.org:taxname:421603,1,"(Bowman, 1968)",Species,accepted,NA,M,101806,Animalia,Arthropoda,Malacostraca,Amphipoda,Phrosinidae,Primno,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:19,present,Pseudosagitta scrippsae,urn:lsid:marinespecies.org:taxname:266259,2,"(Alvariño, 1962)",Species,unaccepted,NA,NA,105409,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Pseudosagitta,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:20,present,Rhynchonereella angelini,urn:lsid:marinespecies.org:taxname:416504,1,"(Kinberg, 1866)",Species,accepted,NA,NA,129148,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Rhynchonereella,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:21,present,Themisto pacifica,urn:lsid:marinespecies.org:taxname:254453,1,"(Stebbing, 1888)",Species,accepted,NA,M,101800,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:22,present,Tomopteris septentrionalis,urn:lsid:marinespecies.org:taxname:131568,5,"Steenstrup, 1849",Species,accepted,NA,NA,129715,Animalia,Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:23,present,Acartia longiremis,urn:lsid:marinespecies.org:taxname:104257,8,"(Lilljeborg, 1853)",Species,alternate representation,C6,F,104108,Animalia,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:24,present,Atlanta,urn:lsid:marinespecies.org:taxname:137687,1,"Lesueur, 1817",Genus,accepted,NA,NA,22990,Animalia,Mollusca,Gastropoda,Littorinimorpha,Atlantidae,Atlanta,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:25,present,Calanus marshallae,urn:lsid:marinespecies.org:taxname:196770,1,"Frost, 1974",Species,accepted,C4,NA,104152,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:26,present,Calanus pacificus,urn:lsid:marinespecies.org:taxname:196771,1,"Brodsky, 1948",Species,accepted,C6,F,104152,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:27,present,Calanus,urn:lsid:marinespecies.org:taxname:104152,6,"Leach, 1816",Genus,accepted,C1,NA,104079,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:28,present,Calanus,urn:lsid:marinespecies.org:taxname:104152,30,"Leach, 1816",Genus,accepted,C2,NA,104079,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:29,present,Calanus,urn:lsid:marinespecies.org:taxname:104152,7,"Leach, 1816",Genus,accepted,C3,NA,104079,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:30,present,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,3,NA,Phylum,accepted,juvenile,NA,2,Animalia,Chaetognatha,NA,NA,NA,NA,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:31,present,Chelophyes appendiculata,urn:lsid:marinespecies.org:taxname:135417,1,"(Eschscholtz, 1829)",Species,accepted,NA,NA,135360,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Chelophyes,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:32,present,Clausocalanus parapergens,urn:lsid:marinespecies.org:taxname:104507,3,"Frost & Fleminger, 1968",Species,accepted,C6,F,104161,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:33,present,Clausocalanus,urn:lsid:marinespecies.org:taxname:104161,2,"Giesbrecht, 1888",Genus,accepted,C5,NA,104082,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:34,present,Clausocalanus,urn:lsid:marinespecies.org:taxname:104161,2,"Giesbrecht, 1888",Genus,accepted,C4,NA,104082,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:35,present,Conchoecia spinirostris,urn:lsid:marinespecies.org:taxname:183092,7,NA,Species,unaccepted,NA,NA,127533,Animalia,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Conchoecia,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:36,present,Corycaeus anglicus,urn:lsid:marinespecies.org:taxname:149847,1,"Lubbock, 1857",Species,unaccepted,C6,M,128634,Animalia,Arthropoda,Hexanauplia,Cyclopoida,Corycaeidae,Corycaeus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:37,present,Ctenocalanus vanus,urn:lsid:marinespecies.org:taxname:104510,5,"Giesbrecht, 1888",Species,accepted,C6,F,104162,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Ctenocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:38,present,Ctenocalanus vanus,urn:lsid:marinespecies.org:taxname:104510,2,"Giesbrecht, 1888",Species,accepted,C5,NA,104162,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Ctenocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:39,present,Ctenocalanus vanus,urn:lsid:marinespecies.org:taxname:104510,1,"Giesbrecht, 1888",Species,accepted,C4,NA,104162,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Ctenocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:40,present,Discoconchoecia elegans,urn:lsid:marinespecies.org:taxname:127782,5,"(Sars, 1866)",Species,accepted,NA,NA,127536,Animalia,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Discoconchoecia,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:41,present,Epicaridea,urn:lsid:marinespecies.org:taxname:13795,2,"Latreille, 1825",Infraorder,accepted,NA,NA,292941,Animalia,Arthropoda,Malacostraca,Isopoda,NA,NA,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:42,present,Eucalanus bungii,urn:lsid:marinespecies.org:taxname:196775,1,"Giesbrecht, 1893",Species,accepted,C4,NA,104171,Animalia,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:43,present,Eucalanus bungii,urn:lsid:marinespecies.org:taxname:196775,2,"Giesbrecht, 1893",Species,accepted,C5,F,104171,Animalia,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:44,present,Eucalanus bungii,urn:lsid:marinespecies.org:taxname:196775,4,"Giesbrecht, 1893",Species,accepted,C5,M,104171,Animalia,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:45,present,Euchirella curticaudata,NA,1,NA,NA,NA,C6,F,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:46,present,Euchirella rostrata,urn:lsid:marinespecies.org:taxname:104303,1,"(Claus, 1866)",Species,accepted,C5,F,104120,Animalia,Arthropoda,Hexanauplia,Calanoida,Aetideidae,Euchirella,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:47,present,Euchirella rostrata,urn:lsid:marinespecies.org:taxname:104303,2,"(Claus, 1866)",Species,accepted,C4,NA,104120,Animalia,Arthropoda,Hexanauplia,Calanoida,Aetideidae,Euchirella,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:48,present,Euchirella,urn:lsid:marinespecies.org:taxname:104120,5,"Giesbrecht, 1888",Genus,accepted,C3,NA,104075,Animalia,Arthropoda,Hexanauplia,Calanoida,Aetideidae,Euchirella,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:49,present,Euchirella,urn:lsid:marinespecies.org:taxname:104120,1,"Giesbrecht, 1888",Genus,accepted,C2,NA,104075,Animalia,Arthropoda,Hexanauplia,Calanoida,Aetideidae,Euchirella,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:50,present,Euphausiidae,urn:lsid:marinespecies.org:taxname:110671,2,"Dana, 1852",Family,accepted,calyptopsis,NA,1128,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,NA,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:51,present,Euphausiidae,urn:lsid:marinespecies.org:taxname:110671,15,"Dana, 1852",Family,accepted,egg,NA,1128,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,NA,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:52,present,Euphausiidae,urn:lsid:marinespecies.org:taxname:110671,1,"Dana, 1852",Family,accepted,furcillia,NA,1128,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,NA,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:53,present,Gaetanus,urn:lsid:marinespecies.org:taxname:104121,1,"Giesbrecht, 1888",Genus,accepted,C2,NA,104075,Animalia,Arthropoda,Hexanauplia,Calanoida,Aetideidae,Gaetanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:54,present,Heterostylites longicornis,urn:lsid:marinespecies.org:taxname:104586,1,"(Giesbrecht, 1889)",Species,accepted,C5,F,104179,Animalia,Arthropoda,Hexanauplia,Calanoida,Heterorhabdidae,Heterostylites,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:55,present,Limacina helicina,urn:lsid:marinespecies.org:taxname:140223,169,"(Phipps, 1774)",Species,accepted,NA,NA,138122,Animalia,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:56,present,Lucicutia flavicornis,urn:lsid:marinespecies.org:taxname:104597,1,"(Claus, 1863)",Species,accepted,C5,NA,104183,Animalia,Arthropoda,Hexanauplia,Calanoida,Lucicutiidae,Lucicutia,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:57,present,Mesocalanus,urn:lsid:marinespecies.org:taxname:104153,4,"Bradford & Jillett, 1974",Genus,accepted,C3,NA,104079,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Mesocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:58,present,Mesocalanus tenuicornis,urn:lsid:marinespecies.org:taxname:104468,6,"(Dana, 1849)",Species,accepted,C4,NA,104153,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Mesocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:59,present,Mesocalanus tenuicornis,urn:lsid:marinespecies.org:taxname:104468,11,"(Dana, 1849)",Species,accepted,C5,NA,104153,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Mesocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:60,present,Mesocalanus tenuicornis,urn:lsid:marinespecies.org:taxname:104468,10,"(Dana, 1849)",Species,accepted,C6,F,104153,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Mesocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:61,present,Metridia pacifica,urn:lsid:marinespecies.org:taxname:196784,18,"Brodsky, 1950",Species,accepted,C4,NA,104190,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:62,present,Metridia pacifica,urn:lsid:marinespecies.org:taxname:196784,14,"Brodsky, 1950",Species,accepted,C5,NA,104190,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:63,present,Metridia pacifica,urn:lsid:marinespecies.org:taxname:196784,11,"Brodsky, 1950",Species,accepted,C6,F,104190,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:64,present,Metridia,urn:lsid:marinespecies.org:taxname:104190,1,"Boeck, 1865",Genus,accepted,C2,NA,104092,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:65,present,Metridia,urn:lsid:marinespecies.org:taxname:104190,8,"Boeck, 1865",Genus,accepted,C3,NA,104092,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:66,present,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,5,"(Krøyer, 1848)",Species,accepted,C4,NA,104155,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:67,present,Neocalanus,urn:lsid:marinespecies.org:taxname:104155,5,"Sars G.O., 1925",Genus,accepted,C1,NA,104079,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:68,present,Neocalanus,urn:lsid:marinespecies.org:taxname:104155,17,"Sars G.O., 1925",Genus,accepted,C2,NA,104079,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:69,present,Neocalanus,urn:lsid:marinespecies.org:taxname:104155,26,"Sars G.O., 1925",Genus,accepted,C3,NA,104079,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:70,present,Oikopleura (Vexillaria) dioica,urn:lsid:marinespecies.org:taxname:103407,2,"Fol, 1872",Species,accepted,NA,NA,343702,Animalia,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:71,present,Oithona atlantica,urn:lsid:marinespecies.org:taxname:106642,8,"Farran, 1908",Species,accepted,C6,F,106485,Animalia,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:72,present,Oithona,urn:lsid:marinespecies.org:taxname:106485,13,"Baird, 1843",Genus,accepted,C5,NA,106422,Animalia,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:73,present,Paracalanus parvus,urn:lsid:marinespecies.org:taxname:104685,1,"(Claus, 1863)",Species,alternate representation,C6,F,104196,Animalia,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:74,present,Paraeuchaeta,urn:lsid:marinespecies.org:taxname:196874,1,"Scott A., 1909",Genus,accepted,C3,NA,104086,Animalia,Arthropoda,Hexanauplia,Calanoida,Euchaetidae,Paraeuchaeta,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:75,present,Paraeuchaeta,urn:lsid:marinespecies.org:taxname:196874,1,"Scott A., 1909",Genus,accepted,C1,NA,104086,Animalia,Arthropoda,Hexanauplia,Calanoida,Euchaetidae,Paraeuchaeta,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:76,present,Pleuromamma,urn:lsid:marinespecies.org:taxname:104191,1,"Giesbrecht in Giesbrecht & Schmeil, 1898",Genus,accepted,C3,NA,104092,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Pleuromamma,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:77,present,Pleuromamma,urn:lsid:marinespecies.org:taxname:104191,1,"Giesbrecht in Giesbrecht & Schmeil, 1898",Genus,accepted,C2,NA,104092,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Pleuromamma,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:78,present,Pseudocalanus moultoni,urn:lsid:marinespecies.org:taxname:157678,17,"Frost, 1989",Species,accepted,C6,F,104165,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:79,present,Pseudocalanus newmani,urn:lsid:marinespecies.org:taxname:157679,10,"Frost, 1989",Species,accepted,C6,M,104165,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:80,present,Pseudocalanus newmani,urn:lsid:marinespecies.org:taxname:157679,15,"Frost, 1989",Species,accepted,C6,F,104165,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:81,present,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,1,"Boeck, 1872",Genus,accepted,C4,NA,104082,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:82,present,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,17,"Boeck, 1872",Genus,accepted,C5,F,104082,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:83,present,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,14,"Boeck, 1872",Genus,accepted,C5,M,104082,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:84,present,Racovitzanus antarcticus,urn:lsid:marinespecies.org:taxname:104784,2,"Giesbrecht, 1902",Species,accepted,C6,F,104227,Animalia,Arthropoda,Hexanauplia,Calanoida,Scolecitrichidae,Racovitzanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:85,present,Racovitzanus,urn:lsid:marinespecies.org:taxname:104227,1,"Giesbrecht, 1902",Genus,accepted,C3,NA,104103,Animalia,Arthropoda,Hexanauplia,Calanoida,Scolecitrichidae,Racovitzanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:86,present,Scaphocalanus echinatus,urn:lsid:marinespecies.org:taxname:104793,2,"(Farran, 1905)",Species,accepted,C6,F,104228,Animalia,Arthropoda,Hexanauplia,Calanoida,Scolecitrichidae,Scaphocalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:87,present,Scolecithricella minor,urn:lsid:marinespecies.org:taxname:104811,3,"(Brady, 1883)",Species,accepted,C5,NA,104229,Animalia,Arthropoda,Hexanauplia,Calanoida,Scolecitrichidae,Scolecithricella,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:88,present,Scolecithricella minor,urn:lsid:marinespecies.org:taxname:104811,2,"(Brady, 1883)",Species,accepted,C6,F,104229,Animalia,Arthropoda,Hexanauplia,Calanoida,Scolecitrichidae,Scolecithricella,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:89,present,Siphonophorae,urn:lsid:marinespecies.org:taxname:1371,1,"Eschscholtz, 1829",Order,accepted,larval colony,NA,19494,Animalia,Cnidaria,Hydrozoa,Siphonophorae,NA,NA,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:90,present,Themisto pacifica,urn:lsid:marinespecies.org:taxname:254453,1,"(Stebbing, 1888)",Species,accepted,<1mm,NA,101800,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:91,present,Aglantha digitale,urn:lsid:marinespecies.org:taxname:117849,2,"(O. F. Müller, 1776)",Species,accepted,NA,NA,117212,Animalia,Cnidaria,Hydrozoa,Trachymedusae,Rhopalonematidae,Aglantha,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:92,present,Doliolidae,urn:lsid:marinespecies.org:taxname:137215,7,"Bronn, 1862",Family,accepted,NA,NA,719942,Animalia,Chordata,Thaliacea,Doliolida,Doliolidae,NA,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:93,present,Eukrohnia hamata,urn:lsid:marinespecies.org:taxname:105416,16,"(Möbius, 1875)",Species,accepted,NA,NA,105399,Animalia,Chaetognatha,Sagittoidea,Phragmophora,Eukrohniidae,Eukrohnia,NA
