eventID,occurrenceID,scientificName,scientificNameID,occurrenceStatus
GoA2019_Stn25:trawl1,GoA2019_Stn25:trawl1:Oncorhynchus nerka,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present
GoA2019_Stn25:trawl1,GoA2019_Stn25:trawl1:Oncorhynchus tschawytscha,Oncorhynchus tschawytscha,urn:lsid:marinespecies.org:taxname:158075,absent
GoA2019_Stn26:trawl1,GoA2019_Stn26:trawl1:Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,absent
GoA2019_Stn26:trawl1,GoA2019_Stn26:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn26:trawl1,GoA2019_Stn26:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn26:trawl1,GoA2019_Stn26:trawl1:Oncorhynchus kisutch,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,absent
GoA2019_Stn26:trawl1,GoA2019_Stn26:trawl1:Oncorhynchus nerka,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present
GoA2019_Stn26:trawl1,GoA2019_Stn26:trawl1:Oncorhynchus nerka,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present
GoA2019_Stn26:trawl1,GoA2019_Stn26:trawl1:Oncorhynchus tschawytscha,Oncorhynchus tschawytscha,urn:lsid:marinespecies.org:taxname:158075,absent
GoA2019_Stn27:trawl1,GoA2019_Stn27:trawl1:Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,absent
GoA2019_Stn27:trawl1,GoA2019_Stn27:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn27:trawl1,GoA2019_Stn27:trawl1:Oncorhynchus kisutch,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,absent
GoA2019_Stn27:trawl1,GoA2019_Stn27:trawl1:Oncorhynchus nerka,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present
GoA2019_Stn27:trawl1,GoA2019_Stn27:trawl1:Oncorhynchus nerka,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present
GoA2019_Stn27:trawl1,GoA2019_Stn27:trawl1:Oncorhynchus tschawytscha,Oncorhynchus tschawytscha,urn:lsid:marinespecies.org:taxname:158075,absent
GoA2019_Stn28:trawl1,GoA2019_Stn28:trawl1:Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,absent
GoA2019_Stn28:trawl1,GoA2019_Stn28:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn28:trawl1,GoA2019_Stn28:trawl1:Oncorhynchus kisutch,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,absent
GoA2019_Stn28:trawl1,GoA2019_Stn28:trawl1:Oncorhynchus nerka,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present
GoA2019_Stn28:trawl1,GoA2019_Stn28:trawl1:Oncorhynchus nerka,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present
GoA2019_Stn28:trawl1,GoA2019_Stn28:trawl1:Oncorhynchus tschawytscha,Oncorhynchus tschawytscha,urn:lsid:marinespecies.org:taxname:158075,absent
GoA2019_Stn29:trawl1,GoA2019_Stn29:trawl1:Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,absent
GoA2019_Stn29:trawl1,GoA2019_Stn29:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn29:trawl1,GoA2019_Stn29:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn29:trawl1,GoA2019_Stn29:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn29:trawl1,GoA2019_Stn29:trawl1:Oncorhynchus kisutch,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,absent
GoA2019_Stn29:trawl1,GoA2019_Stn29:trawl1:Oncorhynchus nerka,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,absent
GoA2019_Stn29:trawl1,GoA2019_Stn29:trawl1:Oncorhynchus tschawytscha,Oncorhynchus tschawytscha,urn:lsid:marinespecies.org:taxname:158075,absent
GoA2019_Stn3:trawl1,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present
GoA2019_Stn3:trawl1,GoA2019_Stn3:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,absent
GoA2019_Stn3:trawl1,GoA2019_Stn3:trawl1:Oncorhynchus kisutch,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,present
GoA2019_Stn3:trawl1,GoA2019_Stn3:trawl1:Oncorhynchus nerka,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,absent
GoA2019_Stn3:trawl1,GoA2019_Stn3:trawl1:Oncorhynchus tschawytscha,Oncorhynchus tschawytscha,urn:lsid:marinespecies.org:taxname:158075,absent
GoA2019_Stn30:trawl1,GoA2019_Stn30:trawl1:Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,absent
GoA2019_Stn30:trawl1,GoA2019_Stn30:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn30:trawl1,GoA2019_Stn30:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn30:trawl1,GoA2019_Stn30:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn30:trawl1,GoA2019_Stn30:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn30:trawl1,GoA2019_Stn30:trawl1:Oncorhynchus kisutch,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,absent
GoA2019_Stn30:trawl1,GoA2019_Stn30:trawl1:Oncorhynchus nerka,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,absent
GoA2019_Stn30:trawl1,GoA2019_Stn30:trawl1:Oncorhynchus tschawytscha,Oncorhynchus tschawytscha,urn:lsid:marinespecies.org:taxname:158075,absent
GoA2019_Stn31:trawl1,GoA2019_Stn31:trawl1:Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,absent
GoA2019_Stn31:trawl1,GoA2019_Stn31:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn31:trawl1,GoA2019_Stn31:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn31:trawl1,GoA2019_Stn31:trawl1:Oncorhynchus kisutch,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,present
GoA2019_Stn31:trawl1,GoA2019_Stn31:trawl1:Oncorhynchus kisutch,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,present
GoA2019_Stn31:trawl1,GoA2019_Stn31:trawl1:Oncorhynchus nerka,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,absent
GoA2019_Stn31:trawl1,GoA2019_Stn31:trawl1:Oncorhynchus tschawytscha,Oncorhynchus tschawytscha,urn:lsid:marinespecies.org:taxname:158075,absent
GoA2019_Stn32:trawl1,GoA2019_Stn32:trawl1:Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present
GoA2019_Stn32:trawl1,GoA2019_Stn32:trawl1:Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present
GoA2019_Stn32:trawl1,GoA2019_Stn32:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn32:trawl1,GoA2019_Stn32:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn32:trawl1,GoA2019_Stn32:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn32:trawl1,GoA2019_Stn32:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn32:trawl1,GoA2019_Stn32:trawl1:Oncorhynchus kisutch,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,present
GoA2019_Stn32:trawl1,GoA2019_Stn32:trawl1:Oncorhynchus kisutch,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,present
GoA2019_Stn32:trawl1,GoA2019_Stn32:trawl1:Oncorhynchus nerka,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,absent
GoA2019_Stn32:trawl1,GoA2019_Stn32:trawl1:Oncorhynchus tschawytscha,Oncorhynchus tschawytscha,urn:lsid:marinespecies.org:taxname:158075,absent
GoA2019_Stn33:trawl1,GoA2019_Stn33:trawl1:Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present
GoA2019_Stn33:trawl1,GoA2019_Stn33:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn33:trawl1,GoA2019_Stn33:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn33:trawl1,GoA2019_Stn33:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn33:trawl1,GoA2019_Stn33:trawl1:Oncorhynchus kisutch,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,present
GoA2019_Stn33:trawl1,GoA2019_Stn33:trawl1:Oncorhynchus kisutch,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,present
GoA2019_Stn33:trawl1,GoA2019_Stn33:trawl1:Oncorhynchus nerka,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,absent
GoA2019_Stn33:trawl1,GoA2019_Stn33:trawl1:Oncorhynchus tschawytscha,Oncorhynchus tschawytscha,urn:lsid:marinespecies.org:taxname:158075,absent
GoA2019_Stn34:trawl1,GoA2019_Stn34:trawl1:Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present
GoA2019_Stn34:trawl1,GoA2019_Stn34:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn34:trawl1,GoA2019_Stn34:trawl1:Oncorhynchus kisutch,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,absent
GoA2019_Stn34:trawl1,GoA2019_Stn34:trawl1:Oncorhynchus nerka,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present
GoA2019_Stn34:trawl1,GoA2019_Stn34:trawl1:Oncorhynchus tschawytscha,Oncorhynchus tschawytscha,urn:lsid:marinespecies.org:taxname:158075,absent
GoA2019_Stn35:trawl1,GoA2019_Stn35:trawl1:Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present
GoA2019_Stn35:trawl1,GoA2019_Stn35:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn35:trawl1,GoA2019_Stn35:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn35:trawl1,GoA2019_Stn35:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn35:trawl1,GoA2019_Stn35:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn35:trawl1,GoA2019_Stn35:trawl1:Oncorhynchus kisutch,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,absent
GoA2019_Stn35:trawl1,GoA2019_Stn35:trawl1:Oncorhynchus nerka,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,absent
GoA2019_Stn35:trawl1,GoA2019_Stn35:trawl1:Oncorhynchus tschawytscha,Oncorhynchus tschawytscha,urn:lsid:marinespecies.org:taxname:158075,absent
GoA2019_Stn36:trawl1,GoA2019_Stn36:trawl1:Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present
GoA2019_Stn36:trawl1,GoA2019_Stn36:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn36:trawl1,GoA2019_Stn36:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn36:trawl1,GoA2019_Stn36:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn36:trawl1,GoA2019_Stn36:trawl1:Oncorhynchus kisutch,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,absent
GoA2019_Stn36:trawl1,GoA2019_Stn36:trawl1:Oncorhynchus nerka,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,absent
GoA2019_Stn36:trawl1,GoA2019_Stn36:trawl1:Oncorhynchus tschawytscha,Oncorhynchus tschawytscha,urn:lsid:marinespecies.org:taxname:158075,absent
