eventID,occurrenceID,occurrenceStatus,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonomicRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,basisOfRecord,organismQuantity,organismQuantityType
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1-p,present,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,5,stomachs
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1-pr1,present,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",accepted,Species,104155,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,HumanObservation,NA,NA
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1-pr2,present,Sergestes pacificus,urn:lsid:marinespecies.org:taxname:585590,"Stimpson, 1860",unaccepted,Species,106829,Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Sergestes,HumanObservation,NA,NA
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1-pr3,present,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",accepted,Species,110673,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,HumanObservation,NA,NA
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1-pr4,present,Hyperia,urn:lsid:marinespecies.org:taxname:101796,"Latreille, 1823",accepted,Genus,101417,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,HumanObservation,NA,NA
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1-pr5,present,Limacina helicina,urn:lsid:marinespecies.org:taxname:140223,"(Phipps, 1774)",accepted,Species,138122,Animalia,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina,HumanObservation,NA,NA
GoA2019_Stn6:trawl1:Oncorhynchus keta:1,GoA2019_Stn6:trawl1:Oncorhynchus keta:1-p,present,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,2,stomachs
GoA2019_Stn8:trawl1:Oncorhynchus keta:1,GoA2019_Stn8:trawl1:Oncorhynchus keta:1-p,present,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,2,stomachs
GoA2019_Stn8:trawl1:Oncorhynchus keta:2,GoA2019_Stn8:trawl1:Oncorhynchus keta:2-p,present,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,4,stomachs
GoA2019_Stn8:trawl1:Oncorhynchus keta:2,GoA2019_Stn8:trawl1:Oncorhynchus keta:2-pr1,present,Coelenterata,urn:lsid:marinespecies.org:taxname:152230,NA,nomen nudum,Phylum,2,Animalia,Coelenterata,NA,NA,NA,NA,HumanObservation,NA,NA
GoA2019_Stn8:trawl1:Oncorhynchus keta:2,GoA2019_Stn8:trawl1:Oncorhynchus keta:2-pr2,present,Vanadis,urn:lsid:marinespecies.org:taxname:129150,"Claparède, 1870",accepted,Genus,932,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Vanadis,HumanObservation,NA,NA
GoA2019_Stn8:trawl1:Oncorhynchus keta:2,GoA2019_Stn8:trawl1:Oncorhynchus keta:2-pr3,present,Sagitta elegans,urn:lsid:marinespecies.org:taxname:105450,"Verrill, 1873",unaccepted,Species,105410,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,HumanObservation,NA,NA
GoA2019_Stn8:trawl1:Oncorhynchus keta:2,GoA2019_Stn8:trawl1:Oncorhynchus keta:2-pr4,present,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",accepted,Species,137233,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,HumanObservation,NA,NA
GoA2019_Stn8:trawl1:Oncorhynchus keta:2,GoA2019_Stn8:trawl1:Oncorhynchus keta:2-pr5,present,Cyclosalpa,urn:lsid:marinespecies.org:taxname:137227,"de Blainville, 1827",accepted,Genus,720268,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Cyclosalpa,HumanObservation,NA,NA
GoA2019_Stn8:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn8:trawl1:Oncorhynchus kisutch:1-p,present,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,10,stomachs
GoA2019_Stn8:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn8:trawl1:Oncorhynchus kisutch:1-pr1,present,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,"(Sasaki, 1923)",unaccepted,Species,1468831,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,HumanObservation,NA,NA
GoA2019_Stn8:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn8:trawl1:Oncorhynchus kisutch:1-pr2,present,Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,"Brandt, 1851",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,HumanObservation,NA,NA
