eventID,occurrenceID,occurrenceStatus,scientificName,scientificNameID,organismQuantity,organismQuantityType,scientificNameAuthorship,taxonomicRank,taxonomicStatus,kingdom,phylum,class,order,family,genus,basisOfRecord,associatedTaxa
IYS:GoA2019_Stn6:trawl,IYS:GoA2019_Stn6:trawl:Oncorhynchus gorbuscha:1-pr2,present,Sergestes pacificus,urn:lsid:marinespecies.org:taxname:585590,NA,NA,"Stimpson, 1860",Species,unaccepted,Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Sergestes,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn6:trawl:Oncorhynchus gorbuscha:1-p"""
IYS:GoA2019_Stn6:trawl,IYS:GoA2019_Stn6:trawl:Oncorhynchus gorbuscha:1-pr3,present,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,NA,NA,"Hansen, 1911",Species,accepted,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn6:trawl:Oncorhynchus gorbuscha:1-p"""
IYS:GoA2019_Stn6:trawl,IYS:GoA2019_Stn6:trawl:Oncorhynchus gorbuscha:1-pr4,present,Hyperia,urn:lsid:marinespecies.org:taxname:101796,NA,NA,"Latreille, 1823",Genus,accepted,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn6:trawl:Oncorhynchus gorbuscha:1-p"""
IYS:GoA2019_Stn6:trawl,IYS:GoA2019_Stn6:trawl:Oncorhynchus gorbuscha:1-pr5,present,Limacina helicina,urn:lsid:marinespecies.org:taxname:140223,NA,NA,"(Phipps, 1774)",Species,accepted,Animalia,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn6:trawl:Oncorhynchus gorbuscha:1-p"""
IYS:GoA2019_Stn6:trawl,IYS:GoA2019_Stn6:trawl:Oncorhynchus keta:2-p,present,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,2,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn8:trawl,IYS:GoA2019_Stn8:trawl:Oncorhynchus keta:1-p,present,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,2,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn8:trawl,IYS:GoA2019_Stn8:trawl:Oncorhynchus keta:2-p,present,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,4,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn8:trawl,IYS:GoA2019_Stn8:trawl:Oncorhynchus keta:2-pr1,present,Coelenterata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn8:trawl:Oncorhynchus keta:2-p"""
IYS:GoA2019_Stn8:trawl,IYS:GoA2019_Stn8:trawl:Oncorhynchus keta:2-pr2,present,Vanadis,urn:lsid:marinespecies.org:taxname:129150,NA,NA,"Claparède, 1870",Genus,accepted,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Vanadis,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn8:trawl:Oncorhynchus keta:2-p"""
IYS:GoA2019_Stn8:trawl,IYS:GoA2019_Stn8:trawl:Oncorhynchus keta:2-pr3,present,Sagitta elegans,urn:lsid:marinespecies.org:taxname:105450,NA,NA,"Verrill, 1873",Species,unaccepted,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn8:trawl:Oncorhynchus keta:2-p"""
IYS:GoA2019_Stn8:trawl,IYS:GoA2019_Stn8:trawl:Oncorhynchus keta:2-pr4,present,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,NA,NA,"Chamisso, 1819",Species,accepted,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn8:trawl:Oncorhynchus keta:2-p"""
IYS:GoA2019_Stn8:trawl,IYS:GoA2019_Stn8:trawl:Oncorhynchus keta:2-pr5,present,Cyclosalpa,urn:lsid:marinespecies.org:taxname:137227,NA,NA,"de Blainville, 1827",Genus,accepted,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Cyclosalpa,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn8:trawl:Oncorhynchus keta:2-p"""
IYS:GoA2019_Stn8:trawl,IYS:GoA2019_Stn8:trawl:Oncorhynchus kisutch:3-p,present,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,10,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn8:trawl,IYS:GoA2019_Stn8:trawl:Oncorhynchus kisutch:3-pr6,present,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,NA,"(Sasaki, 1923)",Species,unaccepted,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn8:trawl:Oncorhynchus kisutch:3-p"""
IYS:GoA2019_Stn8:trawl,IYS:GoA2019_Stn8:trawl:Oncorhynchus kisutch:3-pr7,present,Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,NA,NA,"Brandt, 1851",Species,accepted,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn8:trawl:Oncorhynchus kisutch:3-p"""
IYS:GoA2019_Stn8:trawl,IYS:GoA2019_Stn8:trawl:Oncorhynchus kisutch:3-pr8,present,Clio pyramidata,urn:lsid:marinespecies.org:taxname:139033,NA,NA,"Linnaeus, 1767",Species,accepted,Animalia,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn8:trawl:Oncorhynchus kisutch:3-p"""
IYS:GoA2019_Stn8:trawl,IYS:GoA2019_Stn8:trawl:Oncorhynchus kisutch:4-p,present,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,6,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn8:trawl,IYS:GoA2019_Stn8:trawl:Oncorhynchus kisutch:4-pr9,present,Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,NA,NA,"Brandt, 1851",Species,accepted,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn8:trawl:Oncorhynchus kisutch:4-p"""
IYS:GoA2019_Stn8:trawl,IYS:GoA2019_Stn8:trawl:Oncorhynchus kisutch:4-pr10,present,Clio pyramidata,urn:lsid:marinespecies.org:taxname:139033,NA,NA,"Linnaeus, 1767",Species,accepted,Animalia,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn8:trawl:Oncorhynchus kisutch:4-p"""
IYS:GoA2019_Stn9:trawl,IYS:GoA2019_Stn9:trawl:Oncorhynchus keta:1-p,present,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,1,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn9:trawl,IYS:GoA2019_Stn9:trawl:Oncorhynchus keta:1-pr1,present,Themisto pacifica,urn:lsid:marinespecies.org:taxname:254453,NA,NA,"(Stebbing, 1888)",Species,accepted,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn9:trawl:Oncorhynchus keta:1-p"""
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:Oncorhynchus keta:1-p,present,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,1,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:Oncorhynchus keta:1-pr1,present,Themisto pacifica,urn:lsid:marinespecies.org:taxname:254453,NA,NA,"(Stebbing, 1888)",Species,accepted,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn10:trawl:Oncorhynchus keta:1-p"""
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:Oncorhynchus keta:1-pr2,present,Coelenterata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn10:trawl:Oncorhynchus keta:1-p"""
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:Oncorhynchus kisutch:2-p,present,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,2,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:Oncorhynchus kisutch:2-pr3,present,Themisto pacifica,urn:lsid:marinespecies.org:taxname:254453,NA,NA,"(Stebbing, 1888)",Species,accepted,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn10:trawl:Oncorhynchus kisutch:2-p"""
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:Oncorhynchus kisutch:2-pr4,present,Primno macropa,urn:lsid:marinespecies.org:taxname:180759,NA,NA,"Guérin-Méneville, 1836",Species,accepted,Animalia,Arthropoda,Malacostraca,Amphipoda,Phrosinidae,Primno,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn10:trawl:Oncorhynchus kisutch:2-p"""
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:Oncorhynchus kisutch:2-pr5,present,Clio pyramidata,urn:lsid:marinespecies.org:taxname:139033,NA,NA,"Linnaeus, 1767",Species,accepted,Animalia,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn10:trawl:Oncorhynchus kisutch:2-p"""
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:Oncorhynchus kisutch:3-p,present,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,2,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:Oncorhynchus kisutch:3-pr6,present,Clio pyramidata,urn:lsid:marinespecies.org:taxname:139033,NA,NA,"Linnaeus, 1767",Species,accepted,Animalia,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn10:trawl:Oncorhynchus kisutch:3-p"""
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:Oncorhynchus keta:1-p,present,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,3,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:Oncorhynchus keta:1-pr1,present,Tomopteris,urn:lsid:marinespecies.org:taxname:129715,NA,NA,"Eschscholtz, 1825",Genus,accepted,Animalia,Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn11:trawl:Oncorhynchus keta:1-p"""
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:Oncorhynchus keta:1-pr2,present,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,NA,NA,"Holmes, 1900",Species,accepted,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn11:trawl:Oncorhynchus keta:1-p"""
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:Oncorhynchus keta:2-p,present,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,3,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:Oncorhynchus keta:2-pr3,present,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,NA,NA,"Hansen, 1911",Species,accepted,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn11:trawl:Oncorhynchus keta:2-p"""
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:Oncorhynchus keta:2-pr4,present,Coelenterata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn11:trawl:Oncorhynchus keta:2-p"""
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:Oncorhynchus kisutch:3-p,present,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,2,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:Oncorhynchus kisutch:3-pr5,present,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,NA,NA,"Holmes, 1900",Species,accepted,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn11:trawl:Oncorhynchus kisutch:3-p"""
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:Oncorhynchus nerka:4-p,present,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,3,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:Oncorhynchus nerka:4-pr6,present,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,NA,NA,"Holmes, 1900",Species,accepted,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn11:trawl:Oncorhynchus nerka:4-p"""
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:Oncorhynchus nerka:5-p,present,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,3,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:Oncorhynchus nerka:5-pr7,present,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,NA,"(Jordan & Gilbert, 1880)",Species,accepted,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn11:trawl:Oncorhynchus nerka:5-p"""
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:Oncorhynchus nerka:5-pr8,present,Clio pyramidata,urn:lsid:marinespecies.org:taxname:139033,NA,NA,"Linnaeus, 1767",Species,accepted,Animalia,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn11:trawl:Oncorhynchus nerka:5-p"""
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:Oncorhynchus nerka:5-pr9,present,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,NA,NA,"(Mertens, 1833)",Species,accepted,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn11:trawl:Oncorhynchus nerka:5-p"""
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:Oncorhynchus tshawytscha:6-p,present,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,1,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:Oncorhynchus tshawytscha:6-pr10,present,Pisces,urn:lsid:marinespecies.org:taxname:11676,NA,NA,NA,Superclass,accepted,Animalia,Chordata,NA,NA,NA,NA,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn11:trawl:Oncorhynchus tshawytscha:6-p"""
IYS:GoA2019_Stn12:trawl,IYS:GoA2019_Stn12:trawl:Oncorhynchus keta:1-p,present,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,5,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn12:trawl,IYS:GoA2019_Stn12:trawl:Oncorhynchus keta:1-pr1,present,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,NA,NA,"Hansen, 1911",Species,accepted,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn12:trawl:Oncorhynchus keta:1-p"""
