occurrenceID,measurementType,measurementValue,measurementID,measurementTypeID,measurementUnit,measurementUnitID,measurementValueID
IYS:GoA2019_Stn1:bongo_occ:12,abund_m3_depth_est,0.3259319617,IYS:GoA2019_Stn1:bongo_occ:12:abund_depth, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:13,stage,C1,IYS:GoA2019_Stn1:bongo_occ:13:stage, ,NA,NA,http://vocab.nerc.ac.uk/collection/S11/current/S111/
IYS:GoA2019_Stn1:bongo_occ:13,sex,NA,IYS:GoA2019_Stn1:bongo_occ:13:sex, ,NA,NA,NA
IYS:GoA2019_Stn1:bongo_occ:13,ind_counted,1,IYS:GoA2019_Stn1:bongo_occ:13:ind_counted, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:13,ind_total,16,IYS:GoA2019_Stn1:bongo_occ:13:ind_total, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:13,abund_m3_flow_est,0.3773584906,IYS:GoA2019_Stn1:bongo_occ:13:abund_flow, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:13,abund_m3_depth_est,0.3259319617,IYS:GoA2019_Stn1:bongo_occ:13:abund_depth, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:14,stage,juvenile,IYS:GoA2019_Stn1:bongo_occ:14:stage, ,NA,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1127/
IYS:GoA2019_Stn1:bongo_occ:14,sex,NA,IYS:GoA2019_Stn1:bongo_occ:14:sex, ,NA,NA,NA
IYS:GoA2019_Stn1:bongo_occ:14,ind_counted,5,IYS:GoA2019_Stn1:bongo_occ:14:ind_counted, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:14,ind_total,80,IYS:GoA2019_Stn1:bongo_occ:14:ind_total, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:14,abund_m3_flow_est,1.886792453,IYS:GoA2019_Stn1:bongo_occ:14:abund_flow, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:14,abund_m3_depth_est,1.629659809,IYS:GoA2019_Stn1:bongo_occ:14:abund_depth, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:15,stage,C6,IYS:GoA2019_Stn1:bongo_occ:15:stage, ,NA,NA, 
IYS:GoA2019_Stn1:bongo_occ:15,sex,F,IYS:GoA2019_Stn1:bongo_occ:15:sex, ,NA,NA,http://vocab.nerc.ac.uk/collection/S10/current/S102/
IYS:GoA2019_Stn1:bongo_occ:15,ind_counted,2,IYS:GoA2019_Stn1:bongo_occ:15:ind_counted, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:15,ind_total,32,IYS:GoA2019_Stn1:bongo_occ:15:ind_total, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
