eventID,occurrenceID,scientificName,scientificNameID,kingdom,phylum,class,order,family,genus,occurrenceStatus,Preparations,organismQuantity,organismQuantityType,stage,lifeStage,sex,reproductiveCondition,occurrenceRemarks
GoA2019_Stn46:bongo:Net1:SS144,IYS_GoA2019_zocc232,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,present,formalin,3,individuals,CV,http://vocab.nerc.ac.uk/collection/S11/current/S1112/,NA,NA,NA
GoA2019_Stn46:bongo:Net2:SL10,IYS_GoA2019_zocc233,Chaetognath (Sagitta),urn:lsid:marinespecies.org:taxname:5949,Animalia,Chaetognatha,Sagittoidea,NA,NA,NA,present,size fractionated & frozen,5,individuals,Solitary, ,NA,NA,NA
GoA2019_Stn46:bongo:Net2:SS135,IYS_GoA2019_zocc234,Sergestes similis,urn:lsid:marinespecies.org:taxname:514127,Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Eusergestes,present,size fractionated & frozen,1,individuals,Solitary, ,NA,NA,NA
GoA2019_Stn46:bongo:Net2:SS136,IYS_GoA2019_zocc235,Primno pacifica,urn:lsid:marinespecies.org:taxname:286539,Animalia,Cnidaria,Anthozoa,Alcyonacea,Primnoidae,Primnoa,present,size fractionated & frozen,1,individuals,Solitary, ,NA,NA,NA
GoA2019_Stn46:bongo:Net2:SS137,IYS_GoA2019_zocc236,Clio pyrimidata,urn:lsid:marinespecies.org:taxname:139033,Animalia,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio,present,size fractionated & frozen,1,individuals,Solitary, ,NA,NA,NA
GoA2019_Stn46:bongo:Net2:SS138,IYS_GoA2019_zocc237,Chaetognath (Sagitta),urn:lsid:marinespecies.org:taxname:5949,Animalia,Chaetognatha,Sagittoidea,NA,NA,NA,present,size fractionated & frozen,4,individuals,Solitary, ,NA,NA,NA
GoA2019_Stn46:bongo:Net2:SS140,IYS_GoA2019_zocc238,Japatella diaphana,urn:lsid:marinespecies.org:taxname:138849,Animalia,Mollusca,Cephalopoda,Octopoda,Amphitretidae,Japetella,present,size fractionated & frozen,1,individuals,juvenile,http://vocab.nerc.ac.uk/collection/S11/current/S1127/,NA,NA,NA
GoA2019_Stn46:bongo:Net2:SS141,IYS_GoA2019_zocc239,Sergestes similis,urn:lsid:marinespecies.org:taxname:514127,Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Eusergestes,present,size fractionated & frozen,1,individuals,Solitary, ,NA,NA,NA
GoA2019_Stn46:bongo:Net2:ZL01,IYS_GoA2019_zocc240,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,present,size fractionated & frozen,1,individuals,Solitary, ,NA,NA,NA
GoA2019_Stn47:bongo:Net1:SS145,IYS_GoA2019_zocc241,Clio pyrimidata,urn:lsid:marinespecies.org:taxname:139033,Animalia,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio,present,formalin,1,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn49:bongo:Net2:SS146,IYS_GoA2019_zocc242,Thysanoessa sp.,urn:lsid:marinespecies.org:taxname:110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,present,size fractionated & frozen,1,individuals,Gravid female,NA,female,gravid,NA
GoA2019_Stn49:bongo:Net2:SS147,IYS_GoA2019_zocc243,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,1,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn49:bongo:Net2:SS148,IYS_GoA2019_zocc244,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,1,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn49:bongo:Net2:SS149,IYS_GoA2019_zocc245,Paraeuchaeta sp.,urn:lsid:marinespecies.org:taxname:196874,Animalia,Arthropoda,Hexanauplia,Calanoida,Euchaetidae,Paraeuchaeta,present,size fractionated & frozen,3,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn49:bongo:Net2:SS150,IYS_GoA2019_zocc246,Paraeuchaeta sp.,urn:lsid:marinespecies.org:taxname:196874,Animalia,Arthropoda,Hexanauplia,Calanoida,Euchaetidae,Paraeuchaeta,present,size fractionated & frozen,3,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
