eventID,scientificName,occurrenceID,occurrenceStatus,reproductiveCondition,scientificNameID,scientificAuthorityName,vernacularName,taxonRank,taxonomicStatus,sex,lifeStage,kingdom,phylum,class,order,family,genus,Preparations,occurrenceRemarks
IYS:GoA2019_Stn13:bongo:Net1:SS3,Eusergestes similis,IYS:GoA2019_Stn13:bongo:Net1:SS3:zoop_occ-108,present,NA,urn:lsid:marinespecies.org:taxname:514127,"(Hansen, 1903)",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Eusergestes,formalin,NA
IYS:GoA2019_Stn13:bongo:Net1:SS4,Eusergestes similis,IYS:GoA2019_Stn13:bongo:Net1:SS4:zoop_occ-109,present,NA,urn:lsid:marinespecies.org:taxname:514127,"(Hansen, 1903)",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Eusergestes,formalin,NA
IYS:GoA2019_Stn13:bongo:Net1:SS5,Thysanoessa spinifera,IYS:GoA2019_Stn13:bongo:Net1:SS5:zoop_occ-110,present,NA,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,formalin,NA
IYS:GoA2019_Stn13:bongo:Net1:SS6,Eusergestes similis,IYS:GoA2019_Stn13:bongo:Net1:SS6:zoop_occ-111,present,NA,urn:lsid:marinespecies.org:taxname:514127,"(Hansen, 1903)",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Eusergestes,formalin,NA
IYS:GoA2019_Stn13:bongo:Net2:Z251,Animalia,IYS:GoA2019_Stn13:bongo:Net2:Z251:zoop_occ-112,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn13:bongo:Net2:Z271,Animalia,IYS:GoA2019_Stn13:bongo:Net2:Z271:zoop_occ-113,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn13:bongo:Net2:Z272,Animalia,IYS:GoA2019_Stn13:bongo:Net2:Z272:zoop_occ-114,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn13:bongo:Net2:Z273,Animalia,IYS:GoA2019_Stn13:bongo:Net2:Z273:zoop_occ-115,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn13:bongo:Net2:Z300,Animalia,IYS:GoA2019_Stn13:bongo:Net2:Z300:zoop_occ-116,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn14:bongo:Net1:SS15,Neocalanus cristatus,IYS:GoA2019_Stn14:bongo:Net1:SS15:zoop_occ-117,present,NA,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,formalin,NA
IYS:GoA2019_Stn14:bongo:Net1:SS16,Neocalanus cristatus,IYS:GoA2019_Stn14:bongo:Net1:SS16:zoop_occ-118,present,NA,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,formalin,NA
IYS:GoA2019_Stn14:bongo:Net1:SS17,Neocalanus cristatus,IYS:GoA2019_Stn14:bongo:Net1:SS17:zoop_occ-119,present,NA,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,formalin,NA
IYS:GoA2019_Stn14:bongo:Net2:22008,Neocalanus cristatus,IYS:GoA2019_Stn14:bongo:Net2:22008:zoop_occ-120,present,NA,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,size fractionated & frozen,NA
IYS:GoA2019_Stn14:bongo:Net2:22009,Neocalanus cristatus,IYS:GoA2019_Stn14:bongo:Net2:22009:zoop_occ-121,present,NA,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,size fractionated & frozen,NA
IYS:GoA2019_Stn14:bongo:Net2:22010,Neocalanus cristatus,IYS:GoA2019_Stn14:bongo:Net2:22010:zoop_occ-122,present,NA,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,size fractionated & frozen,NA
IYS:GoA2019_Stn14:bongo:Net2:22011,Neocalanus cristatus,IYS:GoA2019_Stn14:bongo:Net2:22011:zoop_occ-123,present,NA,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,size fractionated & frozen,NA
IYS:GoA2019_Stn14:bongo:Net2:SS7,Euphausia pacifica,IYS:GoA2019_Stn14:bongo:Net2:SS7:zoop_occ-124,present,NA,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,size fractionated & frozen,NA
IYS:GoA2019_Stn14:bongo:Net2:SS8,Euphausia pacifica,IYS:GoA2019_Stn14:bongo:Net2:SS8:zoop_occ-125,present,NA,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,size fractionated & frozen,NA
IYS:GoA2019_Stn14:bongo:Net2:SS9,Euphausia pacifica,IYS:GoA2019_Stn14:bongo:Net2:SS9:zoop_occ-126,present,NA,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,size fractionated & frozen,NA
IYS:GoA2019_Stn14:bongo:Net2:SS10,Munida quadrispina,IYS:GoA2019_Stn14:bongo:Net2:SS10:zoop_occ-127,present,NA,urn:lsid:marinespecies.org:taxname:392422,"Benedict, 1902",Squat lobster,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Decapoda,Munididae,Munida,size fractionated & frozen,NA
IYS:GoA2019_Stn14:bongo:Net2:SS11,Neocalanus cristatus,IYS:GoA2019_Stn14:bongo:Net2:SS11:zoop_occ-128,present,NA,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,size fractionated & frozen,NA
IYS:GoA2019_Stn14:bongo:Net2:SS12,Thysanoessa spinifera,IYS:GoA2019_Stn14:bongo:Net2:SS12:zoop_occ-129,present,NA,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,size fractionated & frozen,NA
IYS:GoA2019_Stn14:bongo:Net2:SS12,Thysanoessa spinifera,IYS:GoA2019_Stn14:bongo:Net2:SS12:zoop_occ-130,present,NA,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,size fractionated & frozen,NA
IYS:GoA2019_Stn14:bongo:Net2:SS13,Sagittoidea,IYS:GoA2019_Stn14:bongo:Net2:SS13:zoop_occ-131,present,NA,urn:lsid:marinespecies.org:taxname:5949,NA,NA,Class,accepted,NA,"NA",Animalia,Chaetognatha,Sagittoidea,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn14:bongo:Net2:SS14,Siphonophorae,IYS:GoA2019_Stn14:bongo:Net2:SS14:zoop_occ-132,present,NA,urn:lsid:marinespecies.org:taxname:1371,"Eschscholtz, 1829",NA,Order,accepted,NA,"NA",Animalia,Cnidaria,Hydrozoa,Siphonophorae,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn14:bongo:Net2:Z295,Animalia,IYS:GoA2019_Stn14:bongo:Net2:Z295:zoop_occ-133,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn14:bongo:Net2:Z296,Animalia,IYS:GoA2019_Stn14:bongo:Net2:Z296:zoop_occ-134,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn14:bongo:Net2:Z297,Animalia,IYS:GoA2019_Stn14:bongo:Net2:Z297:zoop_occ-135,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn14:bongo:Net2:Z298,Animalia,IYS:GoA2019_Stn14:bongo:Net2:Z298:zoop_occ-136,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn15:bongo:Net2:Z291,Animalia,IYS:GoA2019_Stn15:bongo:Net2:Z291:zoop_occ-137,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn15:bongo:Net2:Z292,Animalia,IYS:GoA2019_Stn15:bongo:Net2:Z292:zoop_occ-138,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn15:bongo:Net2:Z293,Animalia,IYS:GoA2019_Stn15:bongo:Net2:Z293:zoop_occ-139,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn15:bongo:Net2:Z294,Animalia,IYS:GoA2019_Stn15:bongo:Net2:Z294:zoop_occ-140,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn16:bongo:Net2:Z201,Animalia,IYS:GoA2019_Stn16:bongo:Net2:Z201:zoop_occ-141,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn16:bongo:Net2:Z202,Animalia,IYS:GoA2019_Stn16:bongo:Net2:Z202:zoop_occ-142,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn16:bongo:Net2:Z203,Animalia,IYS:GoA2019_Stn16:bongo:Net2:Z203:zoop_occ-143,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn16:bongo:Net2:Z204,Animalia,IYS:GoA2019_Stn16:bongo:Net2:Z204:zoop_occ-144,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn16:bongo:Net2:Z205,Animalia,IYS:GoA2019_Stn16:bongo:Net2:Z205:zoop_occ-145,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn17:bongo:Net2:22012,Euphausia pacifica,IYS:GoA2019_Stn17:bongo:Net2:22012:zoop_occ-146,present,NA,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,size fractionated & frozen,NA
IYS:GoA2019_Stn17:bongo:Net2:22013,Euphausia pacifica,IYS:GoA2019_Stn17:bongo:Net2:22013:zoop_occ-147,present,NA,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,size fractionated & frozen,NA
IYS:GoA2019_Stn17:bongo:Net2:22014,Euphausia pacifica,IYS:GoA2019_Stn17:bongo:Net2:22014:zoop_occ-148,present,NA,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,size fractionated & frozen,NA
IYS:GoA2019_Stn17:bongo:Net2:22015,Euphausia pacifica,IYS:GoA2019_Stn17:bongo:Net2:22015:zoop_occ-149,present,NA,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,size fractionated & frozen,NA
IYS:GoA2019_Stn17:bongo:Net2:22016,Neocalanus cristatus,IYS:GoA2019_Stn17:bongo:Net2:22016:zoop_occ-150,present,NA,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,size fractionated & frozen,NA
IYS:GoA2019_Stn17:bongo:Net2:SS18,Neocalanus cristatus,IYS:GoA2019_Stn17:bongo:Net2:SS18:zoop_occ-151,present,NA,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,size fractionated & frozen,NA
IYS:GoA2019_Stn17:bongo:Net2:SS19,Neocalanus cristatus,IYS:GoA2019_Stn17:bongo:Net2:SS19:zoop_occ-152,present,NA,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,size fractionated & frozen,NA
IYS:GoA2019_Stn17:bongo:Net2:SS20,Neocalanus cristatus,IYS:GoA2019_Stn17:bongo:Net2:SS20:zoop_occ-153,present,NA,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,size fractionated & frozen,NA
IYS:GoA2019_Stn17:bongo:Net2:SS21,Euphausia pacifica,IYS:GoA2019_Stn17:bongo:Net2:SS21:zoop_occ-154,present,NA,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,size fractionated & frozen,NA
IYS:GoA2019_Stn17:bongo:Net2:SS22,Euphausia pacifica,IYS:GoA2019_Stn17:bongo:Net2:SS22:zoop_occ-155,present,NA,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,size fractionated & frozen,NA
IYS:GoA2019_Stn17:bongo:Net2:SS23,Euphausia pacifica,IYS:GoA2019_Stn17:bongo:Net2:SS23:zoop_occ-156,present,NA,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,size fractionated & frozen,NA
IYS:GoA2019_Stn17:bongo:Net2:SS24,Thysanoessa spinifera,IYS:GoA2019_Stn17:bongo:Net2:SS24:zoop_occ-157,present,NA,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,size fractionated & frozen,NA
IYS:GoA2019_Stn17:bongo:Net2:SS25,Thysanoessa spinifera,IYS:GoA2019_Stn17:bongo:Net2:SS25:zoop_occ-158,present,NA,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,size fractionated & frozen,NA
IYS:GoA2019_Stn17:bongo:Net2:Z208,Animalia,IYS:GoA2019_Stn17:bongo:Net2:Z208:zoop_occ-159,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn17:bongo:Net2:Z209,Animalia,IYS:GoA2019_Stn17:bongo:Net2:Z209:zoop_occ-160,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn17:bongo:Net2:Z210,Animalia,IYS:GoA2019_Stn17:bongo:Net2:Z210:zoop_occ-161,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
